North sea,Norwegian sea,Barents sea
83.0,0.0,0.0
83.0,0.0,0.0
83.0,0.0,0.0
92.6,0.0,0.0
92.6,650.4,0.0
2463.9,763.0,0.0
2463.9,763.0,0.0
2463.9,763.0,0.0
2463.9,763.0,0.0
2463.9,763.0,0.0
2463.9,767.0,0.0
2468.3,767.0,0.0
2468.3,767.0,164.2
2468.3,767.0,164.2
2468.3,793.4,164.2
2468.3,793.4,164.2
2509.2,793.4,164.2
2509.2,793.4,164.2
2663.3,793.4,164.2
2663.3,793.4,164.2
5190.0,793.4,164.2
5190.0,979.6,164.2
5208.3,979.6,164.2
5208.3,979.6,164.2
5208.3,979.6,164.2
5208.3,979.6,164.2
5208.3,979.6,164.2
5208.3,979.6,405.1
5208.3,979.6,405.1
5229.1,979.6,405.1
5229.1,979.6,405.1
5229.1,979.6,405.1
8852.8,979.6,405.1
8852.8,979.6,405.1
8852.8,979.6,405.1
8852.8,979.6,405.1
8872.3,979.6,405.1
8872.3,979.6,405.1
8872.3,979.6,405.1
8872.3,979.6,405.1
8872.3,979.6,405.1
8872.3,979.6,405.1
8872.3,979.6,405.1
8874.8,979.6,405.1
8874.8,979.6,405.1
8874.8,979.6,405.1
8874.8,979.6,405.1
9219.5,979.6,405.1
9219.5,979.6,405.1
9219.5,979.6,405.1
9249.1,979.6,405.1
9249.1,983.0,405.1
9413.9,983.0,405.1
9415.2,983.0,405.1
9837.9,983.0,496.7
9837.9,983.0,496.7
9837.9,983.0,496.7
9917.8,983.0,676.0
9917.8,983.0,676.0
10146.1,983.0,676.0
10146.1,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,983.0,676.0
10378.8,991.9,676.0
11204.0,991.9,676.0
11204.0,991.9,676.0
11204.0,991.9,676.0
11204.0,991.9,676.0
11204.0,991.9,676.0
11204.0,991.9,676.0
11350.6,991.9,676.0
11350.6,991.9,676.0
11350.6,1003.2,676.0
11350.6,1050.4,676.0
11350.6,1050.4,676.0
11578.3,1050.4,676.0
11578.3,1050.4,676.0
11588.8,1050.4,676.0
