year,1960,1970,1980,1990,2000,2010,Sum
1967,466.7,0.0,0.0,0.0,0.0,0.0,466.7
1968,485.0,0.0,0.0,0.0,0.0,0.0,485.0
1969,3916.8,0.0,0.0,0.0,0.0,0.0,3916.8
1970,3916.8,1056.1,0.0,0.0,0.0,0.0,4972.9
1971,3914.5,1056.1,0.0,0.0,0.0,0.0,4970.6
1972,3902.4,1173.7,0.0,0.0,0.0,0.0,5076.1
1973,3890.7,1173.7,0.0,0.0,0.0,0.0,5064.4
1974,3878.0,4887.3,0.0,0.0,0.0,0.0,8765.3
1975,3808.8,5968.6,0.0,0.0,0.0,0.0,9777.4
1976,3706.8,6729.0,0.0,0.0,0.0,0.0,10435.8
1977,3606.8,6991.0,0.0,0.0,0.0,0.0,10597.8
1978,3508.8,9891.0,0.0,0.0,0.0,0.0,13399.7
1979,3425.3,15806.0,0.0,0.0,0.0,0.0,19231.3
1980,3353.2,15700.6,610.8,0.0,0.0,0.0,19664.6
1981,3294.5,15586.4,1836.1,0.0,0.0,0.0,20717.0
1982,3241.4,15460.1,1877.6,0.0,0.0,0.0,20579.1
1983,3188.6,15288.7,2163.1,0.0,0.0,0.0,20640.4
1984,3140.7,15078.1,3596.6,0.0,0.0,0.0,21815.5
1985,3100.6,14836.7,4799.3,0.0,0.0,0.0,22736.6
1986,3070.2,14560.3,5649.0,0.0,0.0,0.0,23279.6
1987,3044.6,14227.7,6183.7,0.0,0.0,0.0,23456.0
1988,3010.2,13854.9,6264.2,0.0,0.0,0.0,23129.4
1989,2968.0,13356.3,6352.3,0.0,0.0,0.0,22676.6
1990,2920.5,12836.8,6324.6,268.6,0.0,0.0,22350.5
1991,2865.3,12252.1,6282.0,1193.8,0.0,0.0,22593.2
1992,2808.4,11577.2,6233.8,1825.4,0.0,0.0,22444.8
1993,2753.0,10863.5,6173.6,1890.1,0.0,0.0,21680.3
1994,2689.1,10135.9,6044.9,2317.9,0.0,0.0,21187.9
1995,2608.2,9409.9,5865.8,2394.6,0.0,0.0,20278.5
1996,2523.3,8659.9,5597.2,2464.6,0.0,0.0,19245.0
1997,2433.3,7935.1,5308.2,2621.7,0.0,0.0,18298.3
1998,2341.8,7300.6,5012.5,2968.2,0.0,0.0,17623.1
1999,2246.5,6737.1,4667.9,2910.5,0.0,0.0,16562.0
2000,2116.4,6209.5,4300.6,2795.9,226.4,0.0,15648.8
2001,1987.7,5706.5,3920.8,2669.6,295.0,0.0,14579.6
2002,1857.7,5212.4,3558.9,2563.3,295.0,0.0,13487.4
2003,1724.9,4725.8,3243.5,2457.3,478.0,0.0,12629.6
2004,1582.9,4273.1,2951.8,2319.8,496.3,0.0,11623.9
2005,1439.5,3887.4,2695.6,2176.5,493.2,0.0,10692.2
2006,1300.2,3571.9,2471.5,2016.6,472.8,0.0,9833.1
2007,1181.9,3284.6,2250.6,1855.3,626.8,0.0,9199.2
2008,1077.5,3020.1,2049.4,1676.6,855.7,0.0,8679.3
2009,985.9,2793.1,1865.2,1482.8,880.2,0.0,8007.4
2010,909.7,2586.7,1690.1,1311.4,853.0,1917.2,9268.1
2011,842.5,2403.6,1512.1,1157.5,821.9,1917.2,8654.9
2012,783.2,2240.7,1342.7,1019.7,790.6,1917.0,8093.9
2013,730.9,2072.6,1193.5,889.5,756.6,1916.5,7559.6
2014,672.6,1891.8,1042.7,762.8,721.6,1916.3,7007.8
2015,615.7,1693.2,896.3,639.2,674.9,1916.1,6435.6
2016,565.2,1509.3,769.9,539.5,596.5,1916.0,5896.4
