fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRemainingGas,cumulativeMboe,cumulativePercentage
TROLL,1979,Producing,5608.2,5608.2,48.0
SNØHVIT,1984,Producing,1189.4,6797.6,58.2
ORMEN LANGE,1997,Producing,876.2,7673.8,65.6
OSEBERG,1979,Producing,498.8,8172.6,69.9
ÅSGARD,1981,Producing,359.8,8532.4,73.0
VISUND,1986,Producing,286.8,8819.2,75.4
AASTA HANSTEEN,1997,Approved for production,286.2,9105.4,77.9
GULLFAKS SØR,1978,Producing,267.3,9372.7,80.2
TYRIHANS,1983,Producing,244.1,9616.8,82.3
KVITEBJØRN,1994,Producing,220.2,9837.0,84.2
SKARV,1998,Producing,208.8,10045.8,85.9
HEIDRUN,1985,Producing,201.9,10247.7,87.7
VALEMON,1985,Producing,143.4,10391.1,88.9
MARTIN LINGE,1978,Approved for production,122.7,10513.8,89.9
GJØA,1989,Producing,122.7,10636.5,91.0
EKOFISK,1969,Producing,90.6,10727.1,91.8
MIKKEL,1987,Producing,85.5,10812.6,92.5
GINA KROG,1978,Approved for production,75.5,10888.1,93.1
OSEBERG SØR,1984,Producing,69.2,10957.3,93.7
VEGA,1981,Producing,64.2,11021.5,94.3
SLEIPNER VEST,1974,Producing,62.3,11083.8,94.8
STATFJORD,1974,Producing,61.6,11145.4,95.3
NJORD,1986,Producing,53.5,11198.9,95.8
JOHAN SVERDRUP,2010,Approved for production,53.5,11252.4,96.3
FRAM,1990,Producing,45.3,11297.7,96.6
KRISTIN,1997,Producing,42.8,11340.5,97.0
VISUND SØR,2008,Producing,34.6,11375.1,97.3
VALHALL,1975,Producing,32.7,11407.8,97.6
ALVHEIM,1998,Producing,30.2,11438.0,97.8
IVAR AASEN,2008,Producing,27.7,11465.7,98.1
GUDRUN,1975,Producing,25.2,11490.9,98.3
NORNE,1992,Producing,22.6,11513.5,98.5
MARULK,1992,Producing,20.8,11534.3,98.7
MARIA,2010,Approved for production,15.7,11550.0,98.8
ELDFISK,1970,Producing,13.8,11563.8,98.9
MORVIN,2001,Producing,13.8,11577.6,99.0
BRAGE,1980,Producing,12.6,11590.2,99.1
EMBLA,1988,Producing,12.0,11602.2,99.3
VESLEFRIKK,1981,Producing,11.3,11613.5,99.3
ALVE,1990,Producing,11.3,11624.8,99.4
EDVARD GRIEG,2007,Producing,11.3,11636.1,99.5
TRYM,1990,Producing,9.4,11645.5,99.6
SIGYN,1982,Producing,5.0,11650.5,99.7
VALE,1991,Producing,4.4,11654.9,99.7
ATLA,2010,Producing,3.8,11658.7,99.7
GUNGNE,1982,Producing,3.1,11661.8,99.8
TORDIS,1987,Producing,3.1,11664.9,99.8
BALDER,1967,Producing,2.5,11667.4,99.8
SLEIPNER ØST,1981,Producing,2.5,11669.9,99.8
VOLUND,1994,Producing,2.5,11672.4,99.9
HANZ,1997,Approved for production,2.5,11674.9,99.9
HYME,2009,Producing,2.5,11677.4,99.9
SNORRE,1979,Producing,1.9,11679.3,99.9
OSELVAR,1991,Producing,1.3,11680.6,99.9
JOTUN,1994,Shut down,1.3,11681.9,99.9
FLYNDRE,1974,Approved for production,0.6,11682.5,99.9
HOD,1974,Producing,0.6,11683.1,99.9
GYDA,1980,Producing,0.6,11683.7,99.9
OSEBERG ØST,1981,Producing,0.6,11684.3,100.0
TAMBAR,1983,Producing,0.6,11684.9,100.0
DRAUGEN,1984,Producing,0.6,11685.5,100.0
VARG,1984,Shut down,0.6,11686.1,100.0
URD,2000,Producing,0.6,11686.7,100.0
RINGHORNE ØST,2003,Producing,0.6,11687.3,100.0
GIMLE,2004,Producing,0.6,11687.9,100.0
KNARR,2008,Producing,0.6,11688.5,100.0
SKULD,2008,Producing,0.6,11689.1,100.0
BØYLA,2009,Producing,0.6,11689.7,100.0
