fldName,fldDiscoveryYear,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldNpdidField
33/9-6 DELTA,1976,0.00047,0,0,0,0,0,0,0,0,0,44576
ALBUSKJELL,1972,0.047,0.097,0.0063,0,0.16,0,0,0,0,0,43437
ALVE,1990,0.011,0.038,0.0063,0,0.062,0.0019,0.011,0.0019,0,0.017,4444332
ALVHEIM,1998,0.27,0.053,0,0,0.33,0.092,0.03,0,0,0.12,2845712
ATLA,2010,0.0019,0.0075,0,0,0.0094,0.00063,0.0038,0,0,0.0044,21106284
BALDER,1967,0.47,0.012,0,0,0.48,0.072,0.0025,0,0,0.074,43562
BLANE,1989,0.005,0,0,0,0.005,0.0013,0,0,0,0.0013,3437650
BRAGE,1980,0.38,0.035,0.011,0,0.44,0.025,0.013,0.0031,0,0.043,43651
BRYNHILD,1992,0.0057,0,0,0,0.0057,0.0038,0,0,0,0.0038,21123063
BØYLA,2009,0.021,0.0013,0,0,0.023,0.016,0.00063,0,0,0.017,22492497
COD,1968,0.018,0.046,0.0031,0,0.07,0,0,0,0,0,43785
DRAUGEN,1984,0.91,0.011,0.018,0,0.95,0.047,0.00063,0.0019,0,0.051,43758
EDDA,1972,0.03,0.013,0.0013,0,0.045,0,0,0,0,0,43541
EDVARD GRIEG,2007,0.16,0.011,0.0031,0,0.18,0.16,0.011,0.0031,0,0.18,21675433
EKOFISK,1969,3.4,1,0.091,0,4.6,0.54,0.091,0.0075,0,0.65,43506
ELDFISK,1970,0.83,0.27,0.024,0,1.1,0.15,0.014,-0.0013,0,0.16,43527
EMBLA,1988,0.081,0.037,0.0044,0,0.13,0.013,0.012,0.0013,0,0.027,43534
ENOCH,1985,0.0019,0,0,0,0.0019,0,0,0,0,0,3437659
FLYNDRE,1974,0.0025,0.00063,0,0,0.0031,0.0025,0.00063,0,0,0.0031,24635035
FRAM,1990,0.23,0.072,0.0063,0,0.32,0.04,0.045,0.0038,0,0.092,1578840
FRAM H-NORD,2007,0.0044,0,0,0,0.0044,0.0019,0,0,0,0.0019,23410947
FRIGG,1971,0,0.73,0,0.0031,0.73,0,0,0,0,0,43555
FRØY,1987,0.035,0.01,0,0.00063,0.046,0,0,0,0,0,43597
GAUPE,1985,0.0013,0.0025,0,0,0.0038,0,0,0,0,0,18161341
GIMLE,2004,0.018,0.0057,0.0013,0,0.026,0,0.00063,0,0,0.00063,4005142
GINA KROG,1978,0.11,0.075,0.021,0,0.22,0.11,0.075,0.021,0,0.22,23384544
GJØA,1989,0.083,0.22,0.055,0,0.41,0.021,0.12,0.033,-0.005,0.2,4467574
GLITNE,1995,0.056,0,0,0,0.056,0,0,0,0,0,1272071
GOLIAT,2000,0.18,0,0,0,0.18,0.18,0,0,0,0.18,5774394
GRANE,1991,0.9,0,0,0,0.9,0.26,0,0,0,0.26,1035937
GUDRUN,1975,0.075,0.039,0.0088,0,0.13,0.048,0.025,0.0063,0,0.086,18116481
GULLFAKS,1978,2.4,0.15,0.018,0,2.6,0.1,0,0,0,0.1,43686
GULLFAKS SØR,1978,0.39,0.53,0.076,0,1.1,0.087,0.27,0.042,0,0.43,43699
GUNGNE,1982,0.0013,0.095,0.013,0.028,0.15,0.00063,0.0031,0.00063,0.00063,0.0056,43464
GYDA,1980,0.23,0.04,0.012,0,0.29,0.0013,0.00063,0,0,0.0019,43492
HANZ,1997,0.014,0.0025,0.00063,0,0.018,0.014,0.0025,0.00063,0,0.018,25307278
HEIDRUN,1985,1.2,0.31,0.016,0,1.5,0.22,0.2,0.013,0,0.44,43771
HEIMDAL,1972,0.041,0.28,0,0,0.33,0,0,0,0,0,43590
HOD,1974,0.065,0.011,0.0031,0,0.082,0.0044,0.00063,0.0013,0,0.0074,43485
HULDRA,1982,0.033,0.11,0.00063,0,0.14,0,0,0,0,0,97002
HYME,2009,0.026,0.0038,0.0013,0,0.033,0.016,0.0025,0.00063,0,0.02,20474183
ISLAY,2008,0,0.00063,0,0,0.00063,0,0,0,0,0,21105675
IVAR AASEN,2008,0.15,0.028,0.0057,0,0.18,0.15,0.028,0.0057,0,0.18,23384520
JETTE,2009,0.0031,0,0,0,0.0031,0.00063,0,0,0,0.00063,21613906
JOHAN SVERDRUP,2010,1.8,0.053,0.023,0,1.9,1.8,0.053,0.023,0,1.9,26376286
JOTUN,1994,0.15,0.0069,0,0,0.15,0.00063,0.0013,0,0,0.0019,43604
KNARR,2008,0.056,0.0013,0.0038,0,0.064,0.048,0.00063,0.0031,0,0.054,20460988
KRISTIN,1997,0.15,0.19,0.038,0.013,0.42,0.024,0.043,0.0082,0,0.082,1854729
KVITEBJØRN,1994,0.2,0.6,0.072,0,0.94,0.055,0.22,0.041,0,0.35,1036101
LILLE-FRIGG,1975,0.0082,0.014,0,0,0.022,0,0,0,0,0,43583
MARIA,2010,0.16,0.016,0.013,0,0.2,0.16,0.016,0.013,0,0.2,26465170
MARTIN LINGE,1978,0.037,0.12,0.0094,0.021,0.2,0.037,0.12,0.0094,0.021,0.2,21675447
MARULK,1992,0.0031,0.042,0.0038,0,0.052,0.0019,0.021,0.0019,0,0.026,18212090
MIKKEL,1987,0.039,0.21,0.056,0.014,0.37,0.014,0.086,0.023,0,0.14,1630514
MIME,1982,0.0025,0.00063,0,0,0.0031,0,0,0,0,0,43792
MORVIN,2001,0.064,0.03,0.0075,0,0.11,0.022,0.014,0.0044,0,0.044,4966234
MURCHISON,1975,0.087,0.0019,0.0019,0,0.093,0,0,0,0,0,43665
NJORD,1986,0.19,0.12,0.029,0,0.36,0.019,0.053,0.015,0,0.1,43751
NORDØST FRIGG,1974,0,0.073,0,0.00063,0.074,0,0,0,0,0,43568
NORNE,1992,0.57,0.067,0.0082,0,0.66,0.014,0.023,0.0031,0,0.042,43778
ODIN,1974,0,0.17,0,0.0013,0.17,0,0,0,0,0,43610
ORMEN LANGE,1997,0,1.9,0,0.12,2,0,0.88,0,0.046,0.92,2762452
OSEBERG,1979,2.5,0.77,0.081,0,3.5,0.19,0.5,0.022,0,0.74,43625
OSEBERG SØR,1984,0.42,0.13,0.014,0,0.58,0.11,0.069,0.0075,0,0.19,43645
OSEBERG ØST,1981,0.18,0.0025,0.00063,0,0.18,0.052,0.00063,0.00063,0,0.054,43639
OSELVAR,1991,0.0057,0.0031,0,0,0.0088,0.0025,0.0013,0,0,0.0038,5506919
REV,2001,0.005,0.016,0,0,0.021,0.00063,0,0,0,0.00063,4467554
RINGHORNE ØST,2003,0.099,0.0019,0,0,0.1,0.028,0.00063,0,0,0.028,3505505
SIGYN,1982,0.005,0.048,0.017,0.036,0.12,0.0044,0.005,0.0013,-0.0019,0.0099,1630100
SKARV,1998,0.11,0.28,0.031,0,0.45,0.058,0.21,0.024,0,0.31,4704482
SKIRNE,1990,0.014,0.064,0,0,0.078,0.0019,0,0,0,0.0019,2138816
SKULD,2008,0.032,0.0019,0.00063,0,0.035,0.016,0.00063,0,0,0.016,21350124
SLEIPNER VEST,1974,0.023,0.86,0.062,0.19,1.2,0.013,0.062,0.0044,0.00063,0.084,43457
SLEIPNER ØST,1981,0.0013,0.43,0.084,0.17,0.75,0.00063,0.0025,0.00063,-0.0013,0.0031,43478
SNORRE,1979,1.7,0.042,0.03,0,1.8,0.41,0.0019,0.00063,0,0.41,43718
