fldName,cmpLongName,fldCurrentActivitySatus,wlbName,wlbCompletionDate,fldMainArea,fldOwnerKind,fldOwnerName,fldMainSupplyBase,fldNpdidOwner,fldNpdidField,wlbNpdidWellbore,cmpNpdidCompany
HOD,Aker BP ASA,Producing, 2/11-2,29.12.1974,North sea,PRODUCTION LICENSE,033,Tananger,21052,43485,285,28544099
HULDRA,Statoil Petroleum AS,Shut down, 30/2-1,12.10.1982,North sea,PRODUCTION LICENSE,878,Mongstad,28973861,97002,72,17237817
HYME,Statoil Petroleum AS,Producing, 6407/8-5 S,26.05.2009,Norwegian sea,PRODUCTION LICENSE,348,Kristiansund,2987047,20474183,6110,17237817
ISLAY,Total E&P UK Ltd,Producing, ?,,North sea,BUSINESS ARRANGEMENT AREA,ISLAY UNIT,,27122635,21105675,0,2747820
IVAR AASEN,Aker BP ASA,Producing, 16/1-9,22.04.2008,North sea,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,Tananger,25307128,23384520,5773,28544099
JETTE,Aker BP ASA,Shut down, 25/8-17,29.10.2009,North sea,BUSINESS ARRANGEMENT AREA,JETTE UNIT,,21077388,21613906,6185,28544099
JOHAN SVERDRUP,Statoil Petroleum AS,Approved for production, 16/2-6,20.09.2010,North sea,BUSINESS ARRANGEMENT AREA,JOHAN SVERDRUP UNIT,Dusavik,26312510,26376286,6374,17237817
JOTUN,ExxonMobil Exploration and Production Norway AS,Shut down, 25/8-5 S,22.09.1994,North sea,BUSINESS ARRANGEMENT AREA,JOTUN UNIT,Dusavik,40655,43604,2390,2835212
KNARR,A/S Norske Shell,Producing, 34/3-1 S,10.09.2008,North sea,PRODUCTION LICENSE,373 S,Florø,3811116,20460988,5811,562
KRISTIN,Statoil Petroleum AS,Producing, 6406/2-3,15.04.1997,Norwegian sea,BUSINESS ARRANGEMENT AREA,HALTENBANKEN VEST UNIT,Kristiansund,1854695,1854729,2849,17237817
KVITEBJØRN,Statoil Petroleum AS,Producing, 34/11-1,25.10.1994,North sea,PRODUCTION LICENSE,193,Mongstad,22356,1036101,2377,17237817
LILLE-FRIGG,Aker BP ASA,Shut down, 25/2-4,20.10.1975,North sea,PRODUCTION LICENSE,873,,28973585,43583,356,28544099
MARIA,Wintershall Norge AS,Approved for production, 6406/3-8,10.08.2010,Norwegian sea,PRODUCTION LICENSE,475 BS,,5107669,26465170,6350,21666830
MARTIN LINGE,Total E&P Norge AS,Approved for production, 30/7-6 R,03.06.1978,North sea,BUSINESS ARRANGEMENT AREA,MARTIN LINGE UNIT,Tananger/Dusavik,3812119,21675447,507,2410708
MARULK,Eni Norge AS,Producing, 6507/2-2,16.03.1992,Norwegian sea,PRODUCTION LICENSE,122,Sandnessjøen,21788,18212090,1840,2388594
MIKKEL,Statoil Petroleum AS,Producing, 6407/6-3,16.02.1987,Norwegian sea,BUSINESS ARRANGEMENT AREA,MIKKEL UNIT,Kristiansund,1629477,1630514,1024,17237817
MIME,,Shut down, 7/11-5,10.06.1982,North sea,,,,,43792,42,
MORVIN,Statoil Petroleum AS,Producing, 6506/11-7,27.07.2001,Norwegian sea,PRODUCTION LICENSE,134 B,Kristiansund,1025257,4966234,3322,17237817
MURCHISON,CNR International (UK) Limited,Shut down, ?,,North sea,BUSINESS ARRANGEMENT AREA,MURCHISON UNIT,"Peterhead, Skottland",42302,43665,0,2385943
NJORD,Statoil Petroleum AS,Producing, 6407/7-1 S,07.04.1986,Norwegian sea,BUSINESS ARRANGEMENT AREA,NJORD UNIT,Kristiansund,40585,43751,474,17237817
NORDØST FRIGG,Statoil Petroleum AS,Shut down, 25/1-4,30.05.1974,North sea,PRODUCTION LICENSE,903,,28974935,43568,350,17237817
NORNE,Statoil Petroleum AS,Producing, 6608/10-2,29.01.1992,Norwegian sea,BUSINESS ARRANGEMENT AREA,NORNE INSIDE,Sandnessjøen,40672,43778,1782,17237817
ODA,Centrica Resources (Norge) AS,Approved for production, 8/10-4 S,27.10.2011,North sea,PRODUCTION LICENSE,405,,4237284,29412516,6630,4238233
ODIN,Statoil Petroleum AS,Shut down, 30/10-2,28.03.1974,North sea,PRODUCTION LICENSE,903,,28974935,43610,392,17237817
ORMEN LANGE,A/S Norske Shell,Producing, 6305/5-1,07.10.1997,Norwegian sea,BUSINESS ARRANGEMENT AREA,ORMEN LANGE UNIT,Kristiansund,2588637,2762452,3144,562
OSEBERG,Statoil Petroleum AS,Producing, 30/6-1,22.09.1979,North sea,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,Mongstad,3500071,43625,380,17237817
OSEBERG SØR,Statoil Petroleum AS,Producing, 30/9-3,26.02.1984,North sea,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,Mongstad,3500071,43645,55,17237817
OSEBERG ØST,Statoil Petroleum AS,Producing, 30/6-5,15.08.1981,North sea,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,Mongstad,3500071,43639,118,17237817
OSELVAR,Faroe Petroleum Norge AS,Producing, 1/3-6,22.06.1991,North sea,PRODUCTION LICENSE,274,,2060266,5506919,1521,4062883
REV,Repsol Norge AS,Producing, 15/12-12,09.02.2001,North sea,PRODUCTION LICENSE,038 C,,4005057,4467554,3391,27052812
RINGHORNE ØST,ExxonMobil Exploration and Production Norway AS,Producing, 25/8-14 S,22.09.2003,North sea,BUSINESS ARRANGEMENT AREA,RINGHORNE ØST UNIT,,3505593,3505505,4805,2835212
SIGYN,ExxonMobil Exploration and Production Norway AS,Producing, 16/7-4,06.12.1982,North sea,PRODUCTION LICENSE,072,Dusavik,21372,1630100,91,2835212
SINDRE,Statoil Petroleum AS,Approved for production, 34/10-55 S,11.03.2017,North sea,BUSINESS ARRANGEMENT AREA,SINDRE UNIT,,29400473,29401178,8102,17237817
SKARV,Aker BP ASA,Producing, 6507/5-1,03.05.1998,Norwegian sea,BUSINESS ARRANGEMENT AREA,SKARV UNIT,Sandnessjøen,4468539,4704482,3683,28544099
SKIRNE,Total E&P Norge AS,Producing, 25/5-3,26.03.1990,North sea,PRODUCTION LICENSE,102,,21620,2138816,1488,2410708
SKULD,Statoil Petroleum AS,Producing, 6608/10-12,21.12.2008,Norwegian sea,PRODUCTION LICENSE,128,Sandnessjøen,21836,21350124,5949,17237817
SLEIPNER VEST,Statoil Petroleum AS,Producing, 15/6-3,19.12.1974,North sea,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,Dusavik,40848,43457,318,17237817
SLEIPNER ØST,Statoil Petroleum AS,Producing, 15/9-9,14.07.1981,North sea,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,Dusavik,41211,43478,328,17237817
SNORRE,Statoil Petroleum AS,Producing, 34/4-1,16.12.1979,North sea,BUSINESS ARRANGEMENT AREA,SNORRE UNIT,Florø,40906,43718,422,17237817
SNØHVIT,Statoil Petroleum AS,Producing, 7121/4-1,27.10.1984,Barents sea,BUSINESS ARRANGEMENT AREA,SNØHVIT UNIT,Hammerfest,1333943,2053062,135,17237817
STATFJORD,Statoil Petroleum AS,Producing, 33/12-1,18.04.1974,North sea,BUSINESS ARRANGEMENT AREA,STATFJORD UNIT,Mongstad,41686,43658,417,17237817
STATFJORD NORD,Statoil Petroleum AS,Producing, 33/9-8,18.02.1977,North sea,PRODUCTION LICENSE,037,Mongstad,21084,43679,413,17237817
STATFJORD ØST,Statoil Petroleum AS,Producing, 33/9-7,07.11.1976,North sea,BUSINESS ARRANGEMENT AREA,STATFJORD ØST UNIT,Mongstad,41233,43672,412,17237817
SVALIN,Statoil Petroleum AS,Producing, 25/11-16,24.07.1992,North sea,PRODUCTION LICENSE,169,Dusavik,22164,22507971,1920,17237817
SYGNA,Statoil Petroleum AS,Producing, 33/9-19 S,23.07.1996,North sea,BUSINESS ARRANGEMENT AREA,SYGNA UNIT,Florø,96205,104718,2830,17237817
