fldName,fldDiscoveryYear,fldCurrentActivityStatus,fldRemainingOE,cumulativeMboe,cumulativePercentage
TROLL,1979,Producing,5980.4,5980.4,30.4
JOHAN SVERDRUP,2010,Approved for production,1855.7,7836.1,39.8
SNØHVIT,1984,Producing,1388.9,9225.0,46.8
ORMEN LANGE,1997,Producing,922.1,10147.1,51.5
OSEBERG,1979,Producing,735.6,10882.7,55.3
EKOFISK,1969,Producing,649.0,11531.7,58.6
ÅSGARD,1981,Producing,566.4,12098.1,61.4
HEIDRUN,1985,Producing,442.8,12540.9,63.7
GULLFAKS SØR,1978,Producing,434.2,12975.1,65.9
VISUND,1986,Producing,416.3,13391.4,68.0
SNORRE,1979,Producing,412.6,13804.0,70.1
TYRIHANS,1983,Producing,389.4,14193.4,72.1
KVITEBJØRN,1994,Producing,353.2,14546.6,73.9
SKARV,1998,Producing,312.7,14859.3,75.5
AASTA HANSTEEN,1997,Approved for production,291.9,15151.2,76.9
GRANE,1991,Producing,260.4,15411.6,78.3
VALHALL,1975,Producing,255.1,15666.7,79.6
GINA KROG,1978,Approved for production,221.2,15887.9,80.7
GJØA,1989,Producing,201.2,16089.1,81.7
MARTIN LINGE,1978,Approved for production,199.1,16288.2,82.7
MARIA,2010,Approved for production,196.9,16485.1,83.7
OSEBERG SØR,1984,Producing,189.2,16674.3,84.7
VALEMON,1985,Producing,185.4,16859.7,85.6
IVAR AASEN,2008,Producing,185.0,17044.7,86.6
EDVARD GRIEG,2007,Producing,180.8,17225.5,87.5
GOLIAT,2000,Producing,179.3,17404.8,88.4
ELDFISK,1970,Producing,164.9,17569.7,89.2
STATFJORD,1974,Producing,148.4,17718.1,90.0
MIKKEL,1987,Producing,143.6,17861.7,90.7
VEGA,1981,Producing,138.0,17999.7,91.4
ALVHEIM,1998,Producing,122.0,18121.7,92.0
GULLFAKS,1978,Producing,103.2,18224.9,92.6
NJORD,1986,Producing,101.0,18325.9,93.1
FRAM,1990,Producing,92.1,18418.0,93.5
GUDRUN,1975,Producing,85.5,18503.5,94.0
SLEIPNER VEST,1974,Producing,84.5,18588.0,94.4
KRISTIN,1997,Producing,82.2,18670.2,94.8
VIGDIS,1986,Producing,75.3,18745.5,95.2
BALDER,1967,Producing,74.2,18819.7,95.6
ULA,1976,Producing,64.5,18884.2,95.9
KNARR,2008,Producing,54.4,18938.6,96.2
OSEBERG ØST,1981,Producing,54.0,18992.6,96.5
TORDIS,1987,Producing,54.0,19046.6,96.7
DRAUGEN,1984,Producing,51.4,19098.0,97.0
VISUND SØR,2008,Producing,50.4,19148.4,97.2
MORVIN,2001,Producing,44.2,19192.6,97.5
BRAGE,1980,Producing,43.1,19235.7,97.7
NORNE,1992,Producing,42.5,19278.2,97.9
STATFJORD NORD,1977,Producing,35.7,19313.9,98.1
SVALIN,1992,Producing,29.6,19343.5,98.2
VOLUND,1994,Producing,28.9,19372.4,98.4
RINGHORNE ØST,2003,Producing,28.3,19400.7,98.5
EMBLA,1988,Producing,26.9,19427.6,98.7
MARULK,1992,Producing,26.2,19453.8,98.8
HYME,2009,Producing,20.1,19473.9,98.9
VESLEFRIKK,1981,Producing,20.0,19493.9,99.0
HANZ,1997,Approved for production,18.2,19512.1,99.1
BØYLA,2009,Producing,17.0,19529.1,99.2
ALVE,1990,Producing,16.8,19545.9,99.3
SKULD,2008,Producing,16.4,19562.3,99.3
VILJE,2003,Producing,14.5,19576.8,99.4
STATFJORD ØST,1976,Producing,13.4,19590.2,99.5
TRYM,1990,Producing,12.0,19602.2,99.5
URD,2000,Producing,10.7,19612.9,99.6
SIGYN,1982,Producing,9.9,19622.8,99.7
VALE,1991,Producing,7.5,19630.3,99.7
HOD,1974,Producing,7.4,19637.7,99.7
TAMBAR,1983,Producing,7.4,19645.1,99.8
SYGNA,1996,Producing,6.9,19652.0,99.8
GUNGNE,1982,Producing,5.6,19657.6,99.8
ATLA,2010,Producing,4.4,19662.0,99.9
OSELVAR,1991,Producing,3.8,19665.8,99.9
BRYNHILD,1992,Producing,3.8,19669.6,99.9
FLYNDRE,1974,Approved for production,3.1,19672.7,99.9
SLEIPNER ØST,1981,Producing,3.1,19675.8,99.9
VOLVE,1993,Shut down,3.1,19678.9,99.9
GYDA,1980,Producing,1.9,19680.8,99.9
SKIRNE,1990,Producing,1.9,19682.7,100.0
JOTUN,1994,Shut down,1.9,19684.6,100.0
FRAM H-NORD,2007,Producing,1.9,19686.5,100.0
VARG,1984,Shut down,1.3,19687.8,100.0
BLANE,1989,Producing,1.3,19689.1,100.0
REV,2001,Producing,0.6,19689.7,100.0
GIMLE,2004,Producing,0.6,19690.3,100.0
JETTE,2009,Shut down,0.6,19690.9,100.0
