dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
33/9-8 STATFJORD NORD,Statoil Petroleum AS,Producing,OIL,33/9-8,North sea,STATFJORD NORD,11.12.1990,1977,,PRODUCTION LICENSE,037,44588,43679,413,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44588,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43679
34/10-1 GULLFAKS,Statoil Petroleum AS,Producing,OIL,34/10-1,North sea,GULLFAKS,09.10.1981,1978,,PRODUCTION LICENSE,050,44594,43686,424,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44594,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43686
34/10-2 GULLFAKS SØR,Statoil Petroleum AS,Producing,OIL/GAS,34/10-2,North sea,GULLFAKS SØR,29.03.1996,1978,,PRODUCTION LICENSE,050,44606,43699,425,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44606,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43699
34/10-23 VALEMON,Statoil Petroleum AS,Producing,GAS/CONDENSATE,34/10-23,North sea,VALEMON,09.06.2011,1985,,BUSINESS ARRANGEMENT AREA,VALEMON UNIT,44618,20460969,476,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44618,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=20460969
34/10-40 S,Statoil Petroleum AS,Production is unlikely,GAS,34/10-40 S,North sea,,,1995,,PRODUCTION LICENSE,050,44636,,2634,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44636,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44636
34/10-48 S GIMLE,Statoil Petroleum AS,Producing,OIL,34/10-48 S,North sea,GIMLE,18.05.2006,2004,,BUSINESS ARRANGEMENT AREA,GIMLE UNIT,3000688,4005142,4902,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3000688,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4005142
34/10-55 S,Statoil Petroleum AS,Production not evaluated,OIL/GAS,34/10-55 S,North sea,,,2017,,PRODUCTION LICENSE,193,29394737,,8102,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=29394737,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=29394737
34/11-1 KVITEBJØRN,Statoil Petroleum AS,Producing,GAS/CONDENSATE,34/11-1,North sea,KVITEBJØRN,14.06.2000,1994,,PRODUCTION LICENSE,193,44642,1036101,2377,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44642,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1036101
34/11-2 S (Nøkken),Statoil Petroleum AS,"Production likely, but unclarified",GAS,34/11-2 S,North sea,,,1996,,PRODUCTION LICENSE,193,44648,,2733,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44648,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44648
34/11-6 S,Statoil Petroleum AS,Production not evaluated,GAS,34/11-6 S,North sea,,,2017,,BUSINESS ARRANGEMENT AREA,VALEMON UNIT,29027071,,8059,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=29027071,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=29027071
34/12-1 (Afrodite),Eni Norge AS,"Production likely, but unclarified",GAS/CONDENSATE,34/12-1,North sea,,,2008,,PRODUCTION LICENSE,293,4972705,,5684,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972705,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=4972705
34/3-1 S KNARR,A/S Norske Shell,Producing,OIL,34/3-1 S,North sea,KNARR,09.06.2011,2008,,PRODUCTION LICENSE,373 S,4999474,20460988,5811,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4999474,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=20460988
34/4-1 SNORRE,Statoil Petroleum AS,Producing,OIL,34/4-1,North sea,SNORRE,27.05.1988,1979,,BUSINESS ARRANGEMENT AREA,SNORRE UNIT,44654,43718,422,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44654,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43718
34/4-10 (Beta Brent),Suncor Energy Norge AS,Production is unlikely,OIL,34/4-10 R,North sea,,,2000,,PRODUCTION LICENSE,375,1030530,,4051,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1030530,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1030530
34/4-11 (Beta),Suncor Energy Norge AS,Production in clarification phase,OIL,34/4-11,North sea,,,2010,,PRODUCTION LICENSE,375,17826500,,6227,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17826500,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=17826500
34/4-12 S,Statoil Petroleum AS,Production is unlikely,OIL,34/4-12 S,North sea,,,2010,,PRODUCTION LICENSE,057,18012830,,6283,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18012830,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=18012830
