dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
6406/1-1 (Erlend Nord).,Statoil Petroleum AS,Production is unlikely,GAS/CONDENSATE,6406/1-1,Norwegian sea,,,2001,,PRODUCTION LICENSE,257,1630215,,4262,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1630215,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1630215
6406/11-1 S,VNG Norge AS,Production is unlikely,OIL,6406/11-1 S,Norwegian sea,,,1991,,PRODUCTION LICENSE,586,45707,,1539,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45707,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=45707
6406/1-2 (Sklinna Sør),,Production is unlikely,GAS/CONDENSATE,6406/1-2,Norwegian sea,,,2003,,,,2455593,,4762,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2455593,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=2455593
6406/12-3 S (Pil),VNG Norge AS,Production in clarification phase,OIL/GAS,6406/12-3 S,Norwegian sea,,,2014,,PRODUCTION LICENSE,586,24617697,,7322,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24617697,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=24617697
6406/12-4 S (Boomerang),VNG Norge AS,Production not evaluated,OIL,6406/12-4 S,Norwegian sea,,,2015,,PRODUCTION LICENSE,586,27051665,,7721,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=27051665,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=27051665
6406/2-1 LAVRANS,Statoil Petroleum AS,"Production likely, but unclarified",GAS/CONDENSATE,6406/2-1,Norwegian sea,,,1995,,PRODUCTION LICENSE,199,44834,,2444,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44834,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44834
6406/2-3 KRISTIN,Statoil Petroleum AS,Producing,GAS/CONDENSATE,6406/2-3,Norwegian sea,KRISTIN,17.12.2001,1997,,BUSINESS ARRANGEMENT AREA,HALTENBANKEN VEST UNIT,44840,1854729,2849,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44840,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1854729
6406/2-6 RAGNFRID,Statoil Petroleum AS,Production is unlikely,GAS/CONDENSATE,6406/2-6,Norwegian sea,,,1998,,PRODUCTION LICENSE,199,105682,,3407,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=105682,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=105682
6406/2-7 (Erlend),Statoil Petroleum AS,"Production likely, but unclarified",GAS/CONDENSATE,6406/2-7,Norwegian sea,,,1999,,PRODUCTION LICENSE,199,916112,,3878,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=916112,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=916112
6406/2-8 (Imsa Sør),,Production is unlikely,OIL,6406/2-8,Norwegian sea,,,2015,,,,26337302,,7618,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=26337302,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=26337302
6406/3-2 (Trestakk),Statoil Petroleum AS,Decided for production,OIL,6406/3-2,Norwegian sea,,,1986,,PRODUCTION LICENSE,091,44846,,863,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44846,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44846
6406/3-8 MARIA,Wintershall Norge AS,Approved for production,OIL/GAS,6406/3-8,Norwegian sea,MARIA,04.09.2015,2010,,PRODUCTION LICENSE,475 BS,18212080,26465170,6350,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18212080,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=26465170
6406/3-9,,Production is unlikely,OIL,6406/3-9,Norwegian sea,,,2012,,,,21636940,,6594,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21636940,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=21636940
6406/5-1,Total E&P Norge AS,Production is unlikely,GAS/CONDENSATE,6406/5-1,Norwegian sea,,,2002,,PRODUCTION LICENSE,255 B,2074021,,4451,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2074021,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=2074021
6406/6-3 (Mjøsa),,Production is unlikely,GAS,6406/6-3,Norwegian sea,,,2013,,,,23411075,,7156,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23411075,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23411075
6406/6-4 S,,Production is unlikely,GAS/CONDENSATE,6406/6-4 S,Norwegian sea,,,2015,,,,27052647,,7658,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=27052647,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=27052647
6406/9-1 LINNORM,A/S Norske Shell,Production not evaluated,GAS,6406/9-1,Norwegian sea,,,2005,,PRODUCTION LICENSE,255,3435686,,4927,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3435686,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=3435686
6406/9-3 (Onyx Sør),,Production is unlikely,GAS,6406/9-3,Norwegian sea,,,2013,,,,23761877,,7141,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23761877,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23761877
6407/1-2 TYRIHANS SØR,Statoil Petroleum AS,Producing,GAS/CONDENSATE,6407/1-2,Norwegian sea,TYRIHANS,16.02.2006,1983,,BUSINESS ARRANGEMENT AREA,TYRIHANS UNIT,44852,3960848,61,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44852,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=3960848
6407/1-6 S,,Production is unlikely,GAS/CONDENSATE,6407/1-6 S,Norwegian sea,,,2013,,,,23137754,,7086,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23137754,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23137754
6407/1-7,,Production is unlikely,GAS/CONDENSATE,6407/1-7,Norwegian sea,,,2014,,,,24670839,,7412,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24670839,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=24670839
6407/2-5 S (Nona),Statoil Petroleum AS,Production not evaluated,OIL/GAS,6407/2-5 S,Norwegian sea,,,2009,,PRODUCTION LICENSE,074,17115700,,6151,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17115700,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=17115700
6407/2-6 S (Flyndretind),Statoil Petroleum AS,Production not evaluated,OIL/GAS,6407/2-6 S,Norwegian sea,,,2010,,PRODUCTION LICENSE,473,18104628,,6351,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18104628,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=18104628
6407/4-1 (Spinell Sør),Aker BP ASA,Production is unlikely,GAS/CONDENSATE,6407/4-1,Norwegian sea,,,1985,,PRODUCTION LICENSE,690,44864,,490,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44864,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44864
6407/5-2 S (Cortina),Statoil Petroleum AS,Production is unlikely,GAS,6407/5-2 S,Norwegian sea,,,2011,,PRODUCTION LICENSE,796,21076978,,6648,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21076978,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=21076978
6407/6-3 MIKKEL,Statoil Petroleum AS,Producing,GAS/CONDENSATE,6407/6-3,Norwegian sea,MIKKEL,14.09.2001,1987,,BUSINESS ARRANGEMENT AREA,MIKKEL UNIT,44870,1630514,1024,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44870,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1630514
6407/6-6 MIKKEL SØR,Statoil Petroleum AS,"Production likely, but unclarified",GAS,6407/6-6,Norwegian sea,,,2008,,PRODUCTION LICENSE,312,4972665,,5636,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972665,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=4972665
6407/7-1 S NJORD,Statoil Petroleum AS,Producing,OIL,6407/7-1 S,Norwegian sea,NJORD,12.06.1995,1986,,BUSINESS ARRANGEMENT AREA,NJORD UNIT,44876,43751,474,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44876,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43751
6407/7-8 (Noatun),Statoil Petroleum AS,"Production likely, but unclarified",GAS,6407/7-8,Norwegian sea,,,2008,,PRODUCTION LICENSE,107 D,5071896,,5844,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5071896,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5071896
6407/7-9 A,Statoil Petroleum AS,Production not evaluated,GAS,6407/7-9 A,Norwegian sea,,,2016,,PRODUCTION LICENSE,107 C,28576514,,8050,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28576514,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28576514
6407/7-9 S,Statoil Petroleum AS,Production not evaluated,OIL/GAS,6407/7-9 S,Norwegian sea,,,2016,,PRODUCTION LICENSE,107 C,28576505,,8029,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28576505,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28576505
6407/8-2 (Tau),Statoil Petroleum AS,Production is unlikely,OIL/GAS,6407/8-2,Norwegian sea,,,1994,,PRODUCTION LICENSE,833,44882,,2434,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44882,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44882
6407/8-4 S,Statoil Petroleum AS,Production is unlikely,GAS,6407/8-4 S,Norwegian sea,,,2008,,PRODUCTION LICENSE,834,5010066,,5813,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5010066,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5010066
6407/8-5 S HYME,Statoil Petroleum AS,Producing,OIL,6407/8-5 S,Norwegian sea,HYME,24.06.2011,2009,,PRODUCTION LICENSE,348,5506881,20474183,6110,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5506881,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=20474183
6407/8-6 BAUGE,Statoil Petroleum AS,Production in clarification phase,OIL,6407/8-6,Norwegian sea,,,2013,,PRODUCTION LICENSE,348,23867160,,7265,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23867160,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23867160
6407/9-1 DRAUGEN,A/S Norske Shell,Producing,OIL,6407/9-1,Norwegian sea,DRAUGEN,19.12.1988,1984,,PRODUCTION LICENSE,093,44888,43758,133,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44888,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43758
6407/9-9 (Hasselmus),A/S Norske Shell,Production is unlikely,OIL/GAS,6407/9-9,Norwegian sea,,,1999,,PRODUCTION LICENSE,093,110258,,1990,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=110258,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=110258
6506/11-2 (Lange),Statoil Petroleum AS,"Production likely, but unclarified",OIL/GAS,6506/11-2,Norwegian sea,,,1991,,PRODUCTION LICENSE,134,44894,,1754,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44894,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44894
6506/11-7 MORVIN,Statoil Petroleum AS,Producing,OIL/GAS,6506/11-7,Norwegian sea,MORVIN,25.04.2008,2001,,PRODUCTION LICENSE,134 B,1630175,4966234,3322,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1630175,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4966234
6506/12-3 (Lysing),Statoil Petroleum AS,"Production likely, but unclarified",OIL/GAS,6506/12-3,Norwegian sea,,,1985,,PRODUCTION LICENSE,094,116294,,468,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=116294,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=116294
6506/6-1 (Victoria),Total E&P Norge AS,"Production likely, but unclarified",GAS,6506/6-1,Norwegian sea,,,2000,,PRODUCTION LICENSE,211,1340823,,4122,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1340823,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1340823
6506/9-2 S (Fogelberg),Centrica Resources (Norge) AS,Production in clarification phase,GAS/CONDENSATE,6506/9-2 S,Norwegian sea,,,2010,,PRODUCTION LICENSE,433,18086230,,6332,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18086230,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=18086230
6507/10-2 S (Novus),PGNIG Upstream Norway AS,Production is unlikely,OIL/GAS,6507/10-2 S,Norwegian sea,,,2014,,PRODUCTION LICENSE,887,24218006,,7300,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24218006,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=24218006
6507/11-1 MIDGARD,Statoil Petroleum AS,Producing,OIL/GAS,6507/11-1,Norwegian sea,ÅSGARD,14.06.1996,1981,,BUSINESS ARRANGEMENT AREA,ÅSGARD UNIT,44912,43765,68,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44912,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43765
6507/11-6 SIGRID,Statoil Petroleum AS,"Production likely, but unclarified",GAS/CONDENSATE,6507/11-6,Norwegian sea,,,2001,,PRODUCTION LICENSE,263,1630057,,4321,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1630057,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1630057
6507/11-8,Statoil Petroleum AS,Shut down,GAS,6507/11-8,Norwegian sea,YTTERGRYTA,21.05.2008,2007,,PRODUCTION LICENSE,062,4475288,4973114,5562,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4475288,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4973114
6507/11-9 (Natalia),Statoil Petroleum AS,Production is unlikely,GAS,6507/11-9,Norwegian sea,,,2008,,PRODUCTION LICENSE,263,4972689,,5766,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972689,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=4972689
6507/2-2 MARULK,Eni Norge AS,Producing,GAS,6507/2-2,Norwegian sea,MARULK,15.07.2010,1992,,PRODUCTION LICENSE,122,44918,18212090,1840,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44918,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18212090
6507/3-1 ALVE,Statoil Petroleum AS,Producing,GAS/CONDENSATE,6507/3-1,Norwegian sea,ALVE,16.03.2007,1990,,PRODUCTION LICENSE,159 B,44924,4444332,1533,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44924,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4444332
6507/3-10 (Klara),Statoil Petroleum AS,Production is unlikely,OIL,6507/3-10,Norwegian sea,,,2013,,PRODUCTION LICENSE,159 C,23465884,,7212,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=23465884,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=23465884
6507/3-12,Statoil Petroleum AS,Production not evaluated,GAS,6507/3-12,Norwegian sea,,,2017,,PRODUCTION LICENSE,159 B,29382152,,8097,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=29382152,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=29382152
6507/3-7 (Idun Nord),Statoil Petroleum AS,"Production likely, but unclarified",GAS,6507/3-7,Norwegian sea,,,2009,,PRODUCTION LICENSE,159 D,5818184,,6123,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5818184,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5818184
6507/3-8 (Gjøk),Statoil Petroleum AS,Production in clarification phase,GAS,6507/3-8,Norwegian sea,,,2009,,PRODUCTION LICENSE,159 B,17341840,,6258,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17341840,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=17341840
6507/5-1 SKARV,Aker BP ASA,Producing,OIL/GAS,6507/5-1,Norwegian sea,SKARV,18.12.2007,1998,,BUSINESS ARRANGEMENT AREA,SKARV UNIT,45801,4704482,3683,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45801,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4704482
6507/7-13,ConocoPhillips Skandinavia AS,"Production likely, but unclarified",OIL,6507/7-13,Norwegian sea,,,2001,,PRODUCTION LICENSE,095,1628221,,4213,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1628221,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1628221
6507/7-14 S DVALIN,DEA Norge AS,Approved for production,GAS,6507/7-14 S,Norwegian sea,DVALIN,21.03.2017,2010,,PRODUCTION LICENSE,435,18229140,29393934,6367,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18229140,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=29393934
6507/7-2 HEIDRUN,Statoil Petroleum AS,Producing,OIL/GAS,6507/7-2,Norwegian sea,HEIDRUN,14.05.1991,1985,,BUSINESS ARRANGEMENT AREA,HEIDRUN UNIT,44930,43771,464,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44930,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43771
6508/1-2,Lundin Norway AS,Production is unlikely,OIL/GAS,6508/1-2,Norwegian sea,,,2011,,PRODUCTION LICENSE,758,21077280,,6551,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21077280,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=21077280
6603/12-1 (Gro),,Production is unlikely,GAS,6603/12-1,Norwegian sea,,,2009,,,,5798448,,5985,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5798448,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5798448
6604/10-1,,Production is unlikely,GAS,6604/10-1,Norwegian sea,,,2010,,,,20472522,,6356,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=20472522,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=20472522
6605/8-1,,Production is unlikely,GAS,6605/8-1,Norwegian sea,,,2005,,,,3490643,,4984,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3490643,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=3490643
6607/12-2 S (Alve Nord),Total E&P Norge AS,"Production likely, but unclarified",OIL/GAS,6607/12-2 S,Norwegian sea,,,2011,,PRODUCTION LICENSE,127,21104629,,6642,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21104629,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=21104629
6607/12-3,,Production is unlikely,GAS,6607/12-3,Norwegian sea,,,2012,,,,22528465,,7039,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=22528465,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=22528465
6608/10-12 SKULD,Statoil Petroleum AS,Producing,OIL,6608/10-12,Norwegian sea,SKULD,20.01.2012,2008,,PRODUCTION LICENSE,128,5818165,21350124,5949,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5818165,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=21350124
6608/10-17 S,Statoil Petroleum AS,Production not evaluated,OIL/GAS,6608/10-17 S,Norwegian sea,,,2017,,PRODUCTION LICENSE,128,28975188,,8065,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28975188,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28975188
6608/10-2 NORNE,Statoil Petroleum AS,Producing,OIL/GAS,6608/10-2,Norwegian sea,NORNE,09.03.1995,1992,,BUSINESS ARRANGEMENT AREA,NORNE INSIDE,44942,43778,1782,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44942,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43778
6608/10-6 SVALE,Statoil Petroleum AS,Producing,OIL,6608/10-6,Norwegian sea,URD,02.07.2004,2000,,PRODUCTION LICENSE,128,1030536,2834734,3260,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1030536,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2834734
6608/11-2 (Falk),,Production is unlikely,OIL,6608/11-2,Norwegian sea,,,2000,,,,1340747,,4189,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1340747,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1340747
6705/10-1 (Asterix),Statoil Petroleum AS,Production in clarification phase,GAS,6705/10-1,Norwegian sea,,,2009,,PRODUCTION LICENSE,327 B,5466760,,6044,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5466760,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5466760
6706/11-2 (Gymir),Statoil Petroleum AS,Production not evaluated,GAS,6706/11-2,Norwegian sea,,,2015,,PRODUCTION LICENSE,602,26376004,,7709,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=26376004,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=26376004
6706/12-2 (Snefrid Nord),Statoil Petroleum AS,Production in clarification phase,OIL/GAS,6706/12-2,Norwegian sea,,,2015,,PRODUCTION LICENSE,218,26311166,,7651,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=26311166,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=26311166
6706/12-3 (Roald Rygg),Statoil Petroleum AS,Production not evaluated,GAS,6706/12-3,Norwegian sea,,,2015,,PRODUCTION LICENSE,602,26336800,,7666,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=26336800,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=26336800
6706/6-1 (Hvitveis),Wintershall Norge AS,Production not evaluated,GAS,6706/6-1,Norwegian sea,,,2003,,PRODUCTION LICENSE,847,2450045,,4705,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2450045,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=2450045
6707/10-1 AASTA HANSTEEN,Statoil Petroleum AS,Approved for production,GAS,6707/10-1,Norwegian sea,AASTA HANSTEEN,07.06.2013,1997,,PRODUCTION LICENSE,218,44954,23395946,3075,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44954,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23395946
6707/10-2 A,Statoil Petroleum AS,Production is unlikely,GAS,6707/10-2 A,Norwegian sea,,,2008,,PRODUCTION LICENSE,218,5125172,,5931,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5125172,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5125172
6707/10-3 S (Ivory),Centrica Resources (Norge) AS,Production not evaluated,GAS,6707/10-3 S,Norwegian sea,,,2014,,PRODUCTION LICENSE,528 B,25594096,,7550,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=25594096,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=25594096
7/11-1 COD,ConocoPhillips Skandinavia AS,Shut down,GAS/CONDENSATE,7/11-1,North sea,COD,04.05.1973,1968,,PRODUCTION LICENSE,018,44960,43785,149,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44960,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43785
7/11-12 A,,Production is unlikely,GAS,7/11-12 A,North sea,,,2011,,,,21139643,,6655,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21139643,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=21139643
7/11-5 MIME,,Shut down,OIL,7/11-5,North sea,MIME,06.11.1992,1982,,,,44966,43792,42,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44966,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43792
7/12-2 ULA,Aker BP ASA,Producing,OIL,7/12-2,North sea,ULA,30.05.1980,1976,,PRODUCTION LICENSE,019,44972,43800,295,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44972,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43800
