dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
15/12-18 A,MOL Norge AS,Included in other discovery,OIL,15/12-18 A,North sea,,,2007,15/12-18 S (Storskrymten),PRODUCTION LICENSE,773,4554325,,5608,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4554325,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=4554325
15/12-19,A/S Norske Shell,Included in other discovery,GAS,15/12-19,North sea,GAUPE,25.06.2010,2008,6/3-1 PI,PRODUCTION LICENSE,292,4972729,18161341,5705,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4972729,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18161341
15/12-20 S,Repsol Norge AS,Included in other discovery,OIL,15/12-20 S,North sea,VARG,01.12.2008,2008,15/12-4 VARG,PRODUCTION LICENSE,038,5010042,43451,5824,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5010042,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43451
15/3-9,Statoil Petroleum AS,Included in other discovery,OIL/GAS,15/3-9,North sea,GUDRUN,19.12.2013,2010,15/3-1 S GUDRUN,PRODUCTION LICENSE,025,18212532,18116481,6354,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18212532,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18116481
15/9-17 LOKE,Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,15/9-17,North sea,SLEIPNER ØST,05.01.2001,1983,15/9-9 SLEIPNER ØST,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,43928,43478,60,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43928,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43478
15/9-20 S,Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,15/9-20 S,North sea,GUNGNE,02.11.2000,1994,15/9-15 GUNGNE,PRODUCTION LICENSE,046,43940,43464,2319,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43940,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43464
15/9-B-1,Statoil Petroleum AS,Included in other discovery,GAS/CONDENSATE,15/9-B-1,North sea,SLEIPNER VEST,24.11.2010,2009,15/6-3 SLEIPNER VEST,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,17250040,43457,5870,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=17250040,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43457
16/1-7,Aker BP ASA,Included in other discovery,OIL,16/1-7,North sea,IVAR AASEN,21.05.2013,2004,16/1-9 IVAR AASEN,BUSINESS ARRANGEMENT AREA,IVAR AASEN UNIT,2819923,23384520,4928,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2819923,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=23384520
16/7-7 S,ExxonMobil Exploration and Production Norway AS,Included in other discovery,OIL,16/7-7 S,North sea,SIGYN,31.08.2001,1997,16/7-4 SIGYN,PRODUCTION LICENSE,072,45641,1630100,3244,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45641,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=1630100
2/11-10 S,Aker BP ASA,Included in other discovery,OIL,2/11-10 S,North sea,HOD,09.01.1997,1994,2/11-2 HOD,PRODUCTION LICENSE,033,43994,43485,2297,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=43994,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=43485
