date,mma,1-0 - 25% produsert,2-25 - 50% produsert,3-50 - 75% produsert,4-75 - 100% produsert
1982-01,0.48,0.44,0.07,0.01,0.00
1982-02,0.48,0.43,0.07,0.01,0.00
1982-03,0.48,0.42,0.05,0.03,0.00
1982-04,0.49,0.46,0.05,0.03,0.00
1982-05,0.48,0.41,0.04,0.02,0.00
1982-06,0.47,0.37,0.04,0.03,0.00
1982-07,0.47,0.42,0.04,0.02,0.00
1982-08,0.48,0.43,0.01,0.05,0.00
1982-09,0.48,0.38,0.01,0.04,0.00
1982-10,0.48,0.35,0.01,0.04,0.00
1982-11,0.49,0.50,0.00,0.06,0.00
1982-12,0.49,0.51,0.00,0.05,0.00
1983-01,0.49,0.47,0.00,0.05,0.00
1983-02,0.50,0.57,0.00,0.06,0.00
1983-03,0.51,0.56,0.00,0.05,0.00
1983-04,0.52,0.57,0.00,0.05,0.00
1983-05,0.53,0.55,0.00,0.04,0.01
1983-06,0.54,0.58,0.00,0.04,0.01
1983-07,0.56,0.61,0.00,0.04,0.01
1983-08,0.56,0.52,0.00,0.04,0.01
1983-09,0.58,0.54,0.00,0.04,0.01
1983-10,0.60,0.59,0.00,0.04,0.01
1983-11,0.61,0.61,0.00,0.04,0.01
1983-12,0.61,0.62,0.00,0.03,0.01
1984-01,0.63,0.64,0.00,0.03,0.01
1984-02,0.63,0.65,0.00,0.03,0.01
1984-03,0.64,0.56,0.04,0.04,0.01
1984-04,0.64,0.58,0.05,0.03,0.01
1984-05,0.65,0.61,0.06,0.03,0.01
1984-06,0.66,0.61,0.04,0.03,0.01
1984-07,0.66,0.57,0.05,0.03,0.01
1984-08,0.67,0.62,0.05,0.02,0.00
1984-09,0.68,0.66,0.04,0.03,0.01
1984-10,0.69,0.68,0.05,0.03,0.01
1984-11,0.70,0.67,0.05,0.03,0.01
1984-12,0.71,0.69,0.05,0.03,0.01
1985-01,0.71,0.63,0.05,0.03,0.01
1985-02,0.71,0.63,0.05,0.02,0.02
1985-03,0.72,0.66,0.04,0.02,0.01
1985-04,0.72,0.68,0.03,0.02,0.01
1985-05,0.72,0.67,0.02,0.02,0.01
1985-06,0.72,0.59,0.02,0.02,0.01
1985-07,0.73,0.75,0.02,0.02,0.01
1985-08,0.74,0.72,0.02,0.02,0.01
1985-09,0.75,0.76,0.00,0.04,0.01
1985-10,0.76,0.80,0.00,0.04,0.01
1985-11,0.77,0.82,0.00,0.04,0.01
1985-12,0.77,0.80,0.00,0.04,0.01
1986-01,0.78,0.79,0.00,0.04,0.01
1986-02,0.79,0.81,0.00,0.04,0.01
1986-03,0.80,0.80,0.00,0.04,0.01
1986-04,0.77,0.27,0.00,0.03,0.00
1986-05,0.77,0.73,0.00,0.04,0.01
1986-06,0.79,0.81,0.00,0.03,0.01
1986-07,0.80,0.86,0.00,0.03,0.01
1986-08,0.81,0.86,0.00,0.03,0.01
1986-09,0.81,0.80,0.00,0.02,0.01
1986-10,0.82,0.90,0.00,0.02,0.01
1986-11,0.83,0.96,0.00,0.02,0.01
1986-12,0.84,0.99,0.00,0.02,0.01
1987-01,0.86,1.02,0.00,0.02,0.01
1987-02,0.87,0.96,0.00,0.02,0.01
1987-03,0.88,0.94,0.00,0.02,0.01
1987-04,0.94,1.00,0.00,0.01,0.01
1987-05,0.96,0.99,0.00,0.02,0.01
1987-06,0.96,0.33,0.48,0.02,0.01
1987-07,0.96,0.41,0.57,0.02,0.01
1987-08,0.95,0.20,0.55,0.01,0.00
1987-09,0.97,0.40,0.61,0.01,0.01
1987-10,0.98,0.36,0.70,0.01,0.01
1987-11,0.99,0.33,0.68,0.01,0.01
1987-12,0.98,0.21,0.74,0.02,0.01
1988-01,0.99,0.30,0.78,0.01,0.01
1988-02,0.99,0.30,0.77,0.01,0.01
1988-03,1.01,0.33,0.78,0.01,0.01
1988-04,1.02,0.34,0.79,0.01,0.01
1988-05,1.02,0.28,0.77,0.01,0.01
1988-06,1.03,0.21,0.63,0.01,0.01
1988-07,1.04,0.33,0.77,0.02,0.01
1988-08,1.06,0.34,0.65,0.02,0.01
1988-09,1.07,0.36,0.78,0.02,0.01
1988-10,1.08,0.38,0.78,0.02,0.01
1988-11,1.09,0.40,0.77,0.03,0.01
1988-12,1.11,0.40,0.77,0.02,0.01
1989-01,1.14,0.59,0.80,0.02,0.01
1989-02,1.15,0.63,0.64,0.02,0.01
1989-03,1.19,0.66,0.81,0.02,0.01
1989-04,1.22,0.72,0.82,0.02,0.01
1989-05,1.26,0.69,0.79,0.01,0.01
1989-06,1.30,0.62,0.73,0.02,0.01
1989-07,1.33,0.72,0.81,0.02,0.01
1989-08,1.38,0.72,0.80,0.02,0.01
1989-09,1.40,0.72,0.68,0.02,0.01
1989-10,1.43,0.72,0.80,0.02,0.01
1989-11,1.46,0.75,0.82,0.02,0.01
1989-12,1.48,0.58,0.82,0.02,0.01
1990-01,1.50,0.75,0.79,0.02,0.01
1990-02,1.52,0.76,0.79,0.02,0.01
1990-03,1.53,0.78,0.81,0.02,0.01
1990-04,1.53,0.80,0.82,0.02,0.01
1990-05,1.54,0.79,0.84,0.02,0.01
1990-06,1.56,0.75,0.82,0.02,0.01
1990-07,1.55,0.73,0.67,0.02,0.01
1990-08,1.54,0.70,0.70,0.02,0.01
1990-09,1.56,0.91,0.67,0.02,0.01
1990-10,1.58,0.95,0.85,0.01,0.01
1990-11,1.60,0.98,0.86,0.01,0.01
1990-12,1.63,0.91,0.83,0.02,0.01
1991-01,1.65,0.88,0.96,0.02,0.01
1991-02,1.68,0.86,0.99,0.02,0.01
1991-03,1.70,0.85,0.99,0.01,0.01
1991-04,1.72,0.87,0.97,0.01,0.01
1991-05,1.74,0.91,1.02,0.01,0.01
1991-06,1.76,0.91,0.84,0.02,0.01
1991-07,1.79,0.88,0.90,0.01,0.01
1991-08,1.79,0.63,0.79,0.01,0.00
1991-09,1.83,1.02,0.37,0.73,0.01
1991-10,1.84,1.05,0.36,0.51,0.01
1991-11,1.85,1.04,0.35,0.52,0.02
1991-12,1.87,1.07,0.36,0.60,0.02
1992-01,1.90,1.09,0.36,0.72,0.02
1992-02,1.91,0.95,0.35,0.72,0.02
1992-03,1.93,1.09,0.35,0.68,0.02
1992-04,1.96,1.11,0.36,0.70,0.02
1992-05,1.96,1.10,0.29,0.52,0.02
1992-06,1.99,1.04,0.36,0.68,0.02
1992-07,2.02,1.11,0.35,0.66,0.02
1992-08,2.07,1.11,0.36,0.55,0.02
1992-09,2.06,1.13,0.35,0.57,0.02
1992-10,2.09,1.18,0.34,0.67,0.02
1992-11,2.11,1.25,0.34,0.64,0.02
1992-12,2.13,1.27,0.34,0.66,0.02
1993-01,2.12,1.18,0.33,0.49,0.02
1993-02,2.13,1.20,0.32,0.59,0.02
1993-03,2.14,1.27,0.40,0.65,0.02
1993-04,2.16,0.77,0.93,0.64,0.02
1993-05,2.18,0.75,0.93,0.59,0.02
1993-06,2.18,0.65,0.75,0.58,0.02
1993-07,2.20,0.77,0.93,0.65,0.02
1993-08,2.21,0.81,0.89,0.52,0.02
1993-09,2.22,0.21,1.42,0.52,0.02
1993-10,2.24,0.35,1.45,0.63,0.02
1993-11,2.26,0.33,1.51,0.61,0.02
1993-12,2.27,0.25,1.45,0.70,0.02
1994-01,2.31,0.30,1.45,0.69,0.02
1994-02,2.34,0.31,1.45,0.72,0.02
1994-03,2.35,0.33,1.43,0.69,0.02
1994-04,2.36,0.32,1.45,0.64,0.02
1994-05,2.38,0.36,1.49,0.65,0.02
1994-06,2.43,0.40,1.50,0.71,0.02
1994-07,2.44,0.36,1.48,0.70,0.02
1994-08,2.43,0.35,1.06,0.60,0.01
1994-09,2.45,0.38,1.52,0.58,0.02
1994-10,2.48,0.53,1.55,0.61,0.02
1994-11,2.49,0.53,1.55,0.60,0.02
1994-12,2.52,0.57,1.54,0.60,0.02
1995-01,2.53,0.53,1.51,0.55,0.02
1995-02,2.54,0.58,1.45,0.52,0.02
1995-03,2.55,0.55,1.49,0.54,0.02
1995-04,2.57,0.59,1.52,0.57,0.02
1995-05,2.58,0.59,1.51,0.54,0.02
1995-06,2.57,0.59,1.37,0.45,0.02
1995-07,2.58,0.69,1.52,0.51,0.02
1995-08,2.62,0.66,1.30,0.53,0.02
1995-09,2.64,0.70,1.41,0.57,0.02
1995-10,2.66,0.87,1.47,0.59,0.02
1995-11,2.68,0.95,1.42,0.56,0.02
1995-12,2.70,1.01,1.43,0.54,0.02
1996-01,2.74,1.05,1.41,0.52,0.02
1996-02,2.78,1.11,1.41,0.55,0.02
1996-03,2.80,0.99,1.38,0.50,0.02
1996-04,2.83,1.08,1.46,0.13,0.42
1996-05,2.85,0.93,1.49,0.10,0.37
1996-06,2.91,1.03,1.54,0.12,0.42
1996-07,2.94,1.06,1.08,0.57,0.41
1996-08,2.98,1.02,1.03,0.55,0.36
1996-09,3.00,0.99,1.06,0.53,0.43
1996-10,3.00,1.05,1.08,0.33,0.42
1996-11,3.01,1.06,1.07,0.55,0.41
1996-12,3.02,1.14,1.03,0.58,0.35
1997-01,3.02,1.16,0.99,0.57,0.38
1997-02,3.02,1.17,0.46,1.12,0.36
1997-03,3.03,1.06,0.47,1.09,0.34
1997-04,3.04,1.16,0.52,1.16,0.41
1997-05,3.06,1.04,0.55,1.13,0.39
1997-06,3.04,1.07,0.50,0.95,0.37
1997-07,3.04,1.05,0.53,1.13,0.38
1997-08,3.03,0.92,0.62,1.02,0.28
1997-09,3.01,0.99,0.60,0.85,0.33
1997-10,3.03,1.09,0.59,1.05,0.35
1997-11,3.03,1.13,0.59,1.04,0.34
1997-12,3.03,1.16,0.58,1.02,0.35
1998-01,3.04,1.19,0.64,0.99,0.36
1998-02,3.04,1.10,0.66,0.99,0.37
1998-03,3.04,1.03,0.72,0.92,0.34
1998-04,3.03,1.10,0.71,0.90,0.38
1998-05,3.01,0.90,0.68,0.93,0.31
1998-06,3.01,1.11,0.71,0.80,0.34
1998-07,3.01,0.82,0.96,0.92,0.30
1998-08,2.96,0.87,0.49,0.77,0.23
1998-09,2.96,0.77,0.78,0.90,0.29
1998-10,2.94,0.86,0.80,0.89,0.28
1998-11,2.92,0.92,0.82,0.88,0.29
1998-12,2.91,0.88,0.81,0.94,0.29
1999-01,2.88,0.87,0.85,0.90,0.28
1999-02,2.87,0.89,0.79,0.91,0.28
1999-03,2.85,0.88,0.80,0.95,0.25
1999-04,2.83,0.97,0.70,0.92,0.24
1999-05,2.83,1.02,0.70,0.83,0.25
1999-06,2.81,1.04,0.76,0.57,0.30
1999-07,2.81,1.12,0.83,0.75,0.29
1999-08,2.84,0.85,0.95,0.72,0.21
1999-09,2.84,0.86,1.06,0.60,0.25
1999-10,2.85,0.89,1.11,0.67,0.28
1999-11,2.87,0.96,1.12,0.82,0.29
1999-12,2.91,1.08,1.10,0.84,0.28
2000-01,2.93,1.05,1.05,0.77,0.26
2000-02,2.96,1.10,1.09,0.77,0.27
2000-03,2.98,1.11,1.08,0.74,0.24
2000-04,2.99,1.06,0.99,0.67,0.22
2000-05,3.01,1.13,0.98,0.70,0.23
2000-06,3.03,1.09,0.95,0.68,0.19
2000-07,3.06,1.18,1.13,0.73,0.28
2000-08,3.08,1.05,0.85,0.85,0.23
2000-09,3.10,0.66,1.17,0.89,0.24
2000-10,3.11,0.53,1.50,0.90,0.22
2000-11,3.12,0.55,1.54,0.92,0.22
2000-12,3.11,0.59,1.54,0.92,0.23
2001-01,3.12,0.60,1.52,0.91,0.21
2001-02,3.11,0.56,1.40,0.90,0.22
2001-03,3.11,0.56,1.39,0.95,0.21
2001-04,3.13,0.59,1.44,0.97,0.22
2001-05,3.12,0.52,1.32,0.87,0.22
2001-06,3.12,0.49,1.47,0.80,0.16
2001-07,3.11,0.56,1.50,0.97,0.21
2001-08,3.11,0.51,1.21,0.99,0.20
2001-09,3.12,0.58,1.16,1.18,0.20
2001-10,3.13,0.57,1.29,1.02,0.39
2001-11,3.12,0.46,1.31,1.01,0.35
2001-12,3.12,0.52,1.35,0.99,0.38
2002-01,3.10,0.49,1.28,0.95,0.35
2002-02,3.11,0.47,1.33,0.99,0.37
2002-03,3.08,0.47,1.12,0.85,0.34
2002-04,3.08,0.48,1.27,1.04,0.36
2002-05,3.09,0.48,1.12,1.09,0.35
2002-06,3.09,0.46,1.03,1.08,0.35
2002-07,3.08,0.50,1.19,1.10,0.33
2002-08,3.07,0.47,1.15,0.84,0.44
2002-09,3.05,0.37,1.01,0.92,0.46
2002-10,3.02,0.29,1.29,0.87,0.55
2002-11,3.02,0.31,1.22,0.99,0.54
2002-12,2.99,0.30,1.22,0.90,0.54
2003-01,2.98,0.26,1.18,0.97,0.54
2003-02,2.97,0.30,1.18,0.97,0.57
2003-03,2.99,0.25,1.22,1.00,0.53
2003-04,2.97,0.25,1.19,1.00,0.46
2003-05,2.95,0.27,1.13,0.93,0.51
2003-06,2.92,0.26,0.85,0.90,0.57
2003-07,2.90,0.27,1.14,0.89,0.54
2003-08,2.88,0.27,1.04,0.87,0.51
2003-09,2.88,0.30,0.99,0.86,0.54
2003-10,2.86,0.29,1.11,0.88,0.53
2003-11,2.85,0.28,1.10,0.97,0.59
2003-12,2.85,0.29,1.14,0.94,0.59
2004-01,2.85,0.32,1.12,0.94,0.56
2004-02,2.85,0.33,1.10,0.93,0.62
2004-03,2.84,0.27,0.67,1.38,0.56
2004-04,2.83,0.28,0.70,1.39,0.50
2004-05,2.84,0.27,0.69,1.33,0.56
2004-06,2.86,0.17,0.72,1.44,0.56
2004-07,2.87,0.13,0.77,1.45,0.55
2004-08,2.85,0.19,0.62,1.23,0.50
2004-09,2.85,0.20,0.61,1.27,0.52
2004-10,2.84,0.22,0.67,1.37,0.54
2004-11,2.83,0.22,0.66,1.37,0.52
2004-12,2.80,0.22,0.51,1.34,0.51
2005-01,2.77,0.23,0.53,1.28,0.52
2005-02,2.74,0.25,0.62,1.28,0.51
2005-03,2.73,0.27,0.68,1.26,0.51
2005-04,2.71,0.27,0.63,1.29,0.50
2005-05,2.70,0.27,0.65,1.25,0.48
2005-06,2.64,0.15,0.55,1.13,0.42
2005-07,2.62,0.28,0.57,1.28,0.45
2005-08,2.61,0.28,0.59,1.17,0.47
2005-09,2.61,0.29,0.57,1.18,0.50
2005-10,2.58,0.27,0.56,1.05,0.59
2005-11,2.56,0.27,0.59,1.03,0.60
2005-12,2.55,0.32,0.61,0.99,0.60
2006-01,2.55,0.34,0.42,1.15,0.58
2006-02,2.53,0.35,0.39,1.14,0.55
2006-03,2.51,0.36,0.39,0.99,0.70
2006-04,2.47,0.33,0.31,0.92,0.67
2006-05,2.44,0.38,0.35,0.96,0.66
2006-06,2.44,0.37,0.32,1.02,0.54
2006-07,2.43,0.38,0.33,1.05,0.63
2006-08,2.40,0.35,0.33,0.99,0.57
2006-09,2.38,0.34,0.29,1.04,0.56
2006-10,2.37,0.38,0.42,0.97,0.56
2006-11,2.36,0.43,0.42,1.00,0.57
2006-12,2.35,0.43,0.42,1.02,0.57
2007-01,2.34,0.41,0.40,0.99,0.57
2007-02,2.34,0.41,0.41,1.01,0.57
2007-03,2.33,0.41,0.40,0.98,0.55
2007-04,2.34,0.43,0.28,1.10,0.56
2007-05,2.32,0.14,0.38,1.11,0.50
2007-06,2.29,0.15,0.35,0.86,0.51
2007-07,2.28,0.16,0.40,1.12,0.59
2007-08,2.27,0.15,0.38,0.95,0.60
2007-09,2.26,0.16,0.38,1.00,0.60
2007-10,2.25,0.19,0.37,1.05,0.59
2007-11,2.23,0.15,0.41,1.07,0.58
2007-12,2.21,0.14,0.41,1.05,0.57
2008-01,2.19,0.06,0.49,1.05,0.56
2008-02,2.17,0.08,0.46,1.01,0.55
2008-03,2.15,0.10,0.45,1.06,0.52
2008-04,2.13,0.12,0.43,1.00,0.49
2008-05,2.13,0.13,0.35,1.10,0.55
2008-06,2.13,0.15,0.35,1.00,0.44
2008-07,2.13,0.16,0.42,1.11,0.53
2008-08,2.12,0.15,0.37,0.99,0.49
2008-09,2.11,0.15,0.35,0.98,0.53
2008-10,2.11,0.14,0.37,1.10,0.57
2008-11,2.11,0.17,0.39,1.10,0.53
2008-12,2.11,0.18,0.39,1.10,0.53
2009-01,2.10,0.17,0.37,1.06,0.51
2009-02,2.11,0.23,0.38,1.04,0.51
2009-03,2.11,0.20,0.39,1.05,0.50
2009-04,2.10,0.15,0.43,0.84,0.45
2009-05,2.07,0.11,0.42,0.90,0.38
2009-06,2.06,0.17,0.34,0.71,0.56
2009-07,2.04,0.17,0.46,0.82,0.62
2009-08,2.03,0.15,0.42,0.77,0.55
2009-09,2.02,0.20,0.39,0.69,0.59
2009-10,2.01,0.21,0.39,0.79,0.61
2009-11,2.00,0.19,0.41,0.82,0.64
2009-12,1.98,0.15,0.41,0.83,0.61
2010-01,1.97,0.17,0.38,0.81,0.63
2010-02,1.95,0.19,0.35,0.78,0.65
2010-03,1.93,0.17,0.35,0.76,0.63
2010-04,1.93,0.18,0.32,0.76,0.63
2010-05,1.94,0.20,0.32,0.74,0.59
2010-06,1.92,0.23,0.31,0.58,0.42
2010-07,1.90,0.22,0.30,0.72,0.57
2010-08,1.87,0.19,0.29,0.60,0.53
2010-09,1.85,0.21,0.20,0.61,0.57
2010-10,1.84,0.26,0.22,0.79,0.59
2010-11,1.82,0.23,0.09,0.91,0.57
2010-12,1.80,0.14,0.18,0.81,0.66
2011-01,1.78,0.19,0.17,0.82,0.63
2011-02,1.77,0.20,0.17,0.81,0.65
2011-03,1.76,0.20,0.16,0.78,0.60
2011-04,1.75,0.19,0.14,0.77,0.66
2011-05,1.72,0.19,0.09,0.70,0.56
2011-06,1.73,0.22,0.15,0.68,0.56
2011-07,1.72,0.21,0.17,0.71,0.62
2011-08,1.72,0.13,0.23,0.65,0.61
2011-09,1.72,0.12,0.26,0.56,0.60
2011-10,1.70,0.11,0.27,0.67,0.61
2011-11,1.69,0.08,0.25,0.74,0.60
2011-12,1.68,0.11,0.24,0.73,0.58
2012-01,1.67,0.16,0.27,0.68,0.57
2012-02,1.65,0.11,0.30,0.66,0.59
2012-03,1.65,0.11,0.31,0.49,0.70
2012-04,1.64,0.02,0.40,0.57,0.66
2012-05,1.64,0.02,0.38,0.57,0.66
2012-06,1.63,0.02,0.29,0.58,0.60
2012-07,1.62,0.03,0.31,0.52,0.65
2012-08,1.61,0.02,0.29,0.49,0.70
2012-09,1.58,0.02,0.28,0.36,0.59
2012-10,1.57,0.02,0.31,0.48,0.67
2012-11,1.55,0.02,0.26,0.50,0.66
2012-12,1.53,0.03,0.26,0.53,0.66
2013-01,1.52,0.04,0.25,0.51,0.68
2013-02,1.50,0.04,0.22,0.48,0.71
2013-03,1.48,0.06,0.24,0.46,0.70
2013-04,1.47,0.07,0.23,0.47,0.73
2013-05,1.46,0.09,0.23,0.47,0.73
2013-06,1.45,0.09,0.16,0.49,0.59
2013-07,1.45,0.11,0.13,0.59,0.73
2013-08,1.45,0.11,0.11,0.53,0.73
2013-09,1.46,0.07,0.13,0.50,0.61
2013-10,1.45,0.10,0.10,0.51,0.70
2013-11,1.46,0.09,0.11,0.61,0.73
2013-12,1.46,0.05,0.08,0.65,0.76
2014-01,1.47,0.10,0.07,0.60,0.79
2014-02,1.48,0.10,0.03,0.60,0.80
2014-03,1.49,0.09,0.03,0.62,0.80
2014-04,1.49,0.15,0.02,0.60,0.79
2014-05,1.47,0.15,0.02,0.45,0.71
2014-06,1.48,0.14,0.04,0.48,0.76
2014-07,1.48,0.15,0.04,0.57,0.78
2014-08,1.48,0.07,0.09,0.55,0.79
2014-09,1.50,0.10,0.08,0.52,0.78
2014-10,1.51,0.12,0.07,0.57,0.81
2014-11,1.51,0.13,0.08,0.49,0.86
2014-12,1.51,0.13,0.13,0.46,0.85
2015-01,1.51,0.12,0.13,0.47,0.82
2015-02,1.51,0.11,0.14,0.45,0.85
2015-03,1.51,0.08,0.13,0.47,0.86
2015-04,1.51,0.13,0.13,0.42,0.88
2015-05,1.53,0.14,0.12,0.39,0.87
2015-06,1.54,0.15,0.13,0.45,0.84
2015-07,1.54,0.16,0.11,0.43,0.87
2015-08,1.55,0.10,0.16,0.44,0.86
2015-09,1.55,0.12,0.16,0.44,0.82
2015-10,1.56,0.06,0.21,0.45,0.92
2015-11,1.56,0.07,0.22,0.42,0.89
2015-12,1.57,0.09,0.20,0.44,0.90
2016-01,1.58,0.12,0.17,0.46,0.88
2016-02,1.58,0.09,0.19,0.47,0.88
2016-03,1.59,0.14,0.17,0.40,0.90
2016-04,1.59,0.14,0.16,0.41,0.92
2016-05,1.60,0.15,0.10,0.45,0.87
2016-06,1.59,0.14,0.17,0.42,0.72
2016-07,1.60,0.17,0.17,0.34,1.05
2016-08,1.60,0.14,0.16,0.30,0.97
2016-09,1.59,0.09,0.11,0.30,0.90
2016-10,1.60,0.18,0.12,0.39,1.05
2016-11,1.61,0.17,0.11,0.42,1.06
2016-12,1.62,0.16,0.11,0.29,1.11
2017-01,1.62,0.11,0.10,0.32,1.09
