year,1960,1970,1980,1990,2000,2010,Sum
1967,478.7,0.0,0.0,0.0,0.0,0.0,478.7
1968,548.8,0.0,0.0,0.0,0.0,0.0,548.8
1969,5152.8,0.0,0.0,0.0,0.0,0.0,5152.8
1970,5152.8,1631.4,0.0,0.0,0.0,0.0,6784.1
1971,5150.5,2365.4,0.0,0.0,0.0,0.0,7515.9
1972,5138.4,2891.8,0.0,0.0,0.0,0.0,8030.2
1973,5126.6,2950.3,0.0,0.0,0.0,0.0,8076.9
1974,5114.0,8887.4,0.0,0.0,0.0,0.0,14001.4
1975,5044.8,10272.6,0.0,0.0,0.0,0.0,15317.5
1976,4942.7,11146.8,0.0,0.0,0.0,0.0,16089.5
1977,4833.7,11428.1,0.0,0.0,0.0,0.0,16261.8
1978,4703.8,15472.3,0.0,0.0,0.0,0.0,20176.1
1979,4577.2,31634.8,0.0,0.0,0.0,0.0,36212.0
1980,4451.5,31409.5,729.8,0.0,0.0,0.0,36590.9
1981,4340.5,31176.8,4832.9,0.0,0.0,0.0,40350.2
1982,4235.2,30937.3,5249.9,0.0,0.0,0.0,40422.5
1983,4131.7,30651.0,5917.8,0.0,0.0,0.0,40700.4
1984,4030.9,30312.9,9228.3,0.0,0.0,0.0,43572.2
1985,3943.3,29935.2,10938.8,0.0,0.0,0.0,44817.2
1986,3887.6,29495.5,12415.2,0.0,0.0,0.0,45798.2
1987,3830.8,28990.7,13338.8,0.0,0.0,0.0,46160.2
1988,3763.2,28442.2,13464.8,0.0,0.0,0.0,45670.1
1989,3680.1,27772.5,13882.5,0.0,0.0,0.0,45335.2
1990,3591.6,27105.1,13851.7,491.9,0.0,0.0,45040.3
1991,3498.0,26376.9,13802.4,1436.0,0.0,0.0,45113.3
1992,3396.9,25559.5,13746.9,2198.4,0.0,0.0,44901.7
1993,3305.6,24707.6,13667.1,2272.5,0.0,0.0,43952.8
1994,3205.5,23853.9,13472.1,3447.8,0.0,0.0,43979.3
1995,3085.0,23009.7,13205.8,3643.3,0.0,0.0,42943.7
1996,2960.5,22095.6,12830.1,3713.2,0.0,0.0,41599.5
1997,2833.1,21154.6,12439.9,6420.9,0.0,0.0,42848.5
1998,2714.3,20287.3,12048.1,7155.4,0.0,0.0,42205.2
1999,2598.4,19462.7,11601.7,7097.7,0.0,0.0,40760.6
2000,2445.9,18690.2,11111.1,6981.1,230.2,0.0,39458.4
2001,2295.9,17937.9,10567.1,6845.4,359.0,0.0,38005.2
2002,2144.8,17164.0,9979.8,6732.5,359.0,0.0,36380.1
2003,1990.9,16403.9,9381.8,6598.4,543.9,0.0,34918.9
2004,1827.6,15666.4,8799.7,6419.3,570.2,0.0,33283.2
2005,1662.8,14972.9,8253.1,6206.8,566.5,0.0,31662.0
2006,1501.6,14337.7,7765.6,5942.0,545.3,0.0,30092.2
2007,1364.4,13712.6,7285.1,5705.0,734.8,0.0,28802.0
2008,1242.3,13134.9,6812.8,5368.1,1072.8,0.0,27630.8
2009,1135.2,12655.8,6348.7,4937.8,1097.4,0.0,26174.9
2010,1046.1,12173.3,5905.6,4535.7,1059.3,2062.1,26782.0
2011,968.5,11763.8,5442.2,4142.3,1021.5,2062.1,25400.4
2012,900.2,11289.3,4986.6,3759.6,979.7,2061.5,23977.0
2013,841.1,10841.8,4576.3,3378.7,923.8,2060.6,22622.3
2014,774.8,10386.3,4163.8,2996.1,868.4,2058.8,21248.4
2015,710.0,9861.4,3728.7,2638.3,805.4,2056.7,19800.5
2016,652.8,9375.9,3344.9,2329.6,711.7,2053.5,18468.4
