name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
Før 2000,4253.7,2886.6,7623.92,445.9,1161.6,1715.75
Etter 2000,899.2,1112.7,2240.09,537.3,620.4,1285.54
Sum,5152.9,3999.3,9864.01,983.2,1782.0,3001.29
