name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
North sea,27.8,18.5,49.3,5.3,7.7,13.8
Norwegian sea,4.4,5.2,11.0,0.8,2.4,3.6
Barents sea,0.2,1.4,1.9,0.2,1.1,1.5
Sum,32.5,25.2,62.1,6.2,11.2,18.9
