dscName,kind,dscDiscoveryYear,dscCurrentActivityStatus,oil,gas,oe
33/9-19 S SYGNA,reserve,1996,Producing,6.9,0.0,6.9
15/9-15 GUNGNE,reserve,1982,Producing,0.6,3.1,5.6
35/11-17 (F-Vest),resource,2014,"Production likely, but unclarified",3.1,1.7,4.8
34/8-16 S (Iapetus Øst),resource,2015,Production not evaluated,0.0,3.5,4.7
25/5-7 ATLA,reserve,2010,Producing,0.6,3.8,4.4
7/7-2 BRYNHILD,reserve,1992,Producing,3.8,0.0,3.8
1/3-6 OSELVAR,reserve,1991,Producing,2.5,1.3,3.8
15/9-19 S VOLVE,reserve,1993,Shut down,3.1,0.0,3.1
1/5-2 FLYNDRE,reserve,1974,Approved for production,2.5,0.6,3.1
15/9-9 SLEIPNER ØST,reserve,1981,Producing,0.6,2.5,3.1
31/2-N-11 H,resource,2005,Decided for production,2.1,0.0,2.1
2/1-3 GYDA,reserve,1980,Producing,1.3,0.6,1.9
35/11-15 S FRAM H-NORD,reserve,2007,Producing,1.9,0.0,1.9
25/8-5 S JOTUN,reserve,1994,Shut down,0.6,1.3,1.9
25/5-3 SKIRNE,reserve,1990,Producing,1.9,0.0,1.9
1/2-1 BLANE,reserve,1989,Producing,1.3,0.0,1.3
15/12-4 VARG,reserve,1984,Shut down,0.6,0.6,1.3
25/8-17 JETTE,reserve,2009,Shut down,0.6,0.0,0.6
34/10-48 S GIMLE,reserve,2004,Producing,0.0,0.6,0.6
15/12-12 REV,reserve,2001,Producing,0.6,0.0,0.6
33/9-6 DELTA,unknown,1976,Shut down,0.0,0.0,0.0
2/4-6 VEST EKOFISK,unknown,1970,Shut down,0.0,0.0,0.0
16/1-26 S,unknown,2016,Production not evaluated,0.0,0.0,0.0
15/5-5 GLITNE,unknown,1995,Shut down,0.0,0.0,0.0
15/5 ENOCH/SELE,unknown,1985,Producing,0.0,0.0,0.0
35/8-6 A,unknown,2016,Production not evaluated,0.0,0.0,0.0
36/7-4 (Cara),unknown,2016,Production not evaluated,0.0,0.0,0.0
35/11-20 B,unknown,2016,Production not evaluated,0.0,0.0,0.0
6/3-1 PI,unknown,1985,Producing,0.0,0.0,0.0
7/11-1 COD,unknown,1968,Shut down,0.0,0.0,0.0
7/11-5 MIME,unknown,1982,Shut down,0.0,0.0,0.0
1/9-4 TOMMELITEN GAMMA,unknown,1978,Shut down,0.0,0.0,0.0
1/6-1 ALBUSKJELL,unknown,1972,Shut down,0.0,0.0,0.0
1/3-K-5 TAMBAR ØST,unknown,2007,Producing,0.0,0.0,0.0
35/11-20 S,unknown,2016,Production not evaluated,0.0,0.0,0.0
2/7-4 EDDA,unknown,1972,Shut down,0.0,0.0,0.0
2/5-1 TOR,unknown,1970,Shut down,0.0,0.0,0.0
33/9  MURCHISON,unknown,1975,Shut down,0.0,0.0,0.0
31/7-1 (Brasse),unknown,2016,"Production likely, but unclarified",0.0,0.0,0.0
30/9-28 S,unknown,2016,"Production likely, but unclarified",0.0,0.0,0.0
30/2-1 HULDRA,unknown,1982,Shut down,0.0,0.0,0.0
30/10-2 ODIN,unknown,1974,Shut down,0.0,0.0,0.0
29/6 ISLAY,unknown,2008,Producing,0.0,0.0,0.0
26/10-1 (Zulu Øst),unknown,2015,Production not evaluated,0.0,0.0,0.0
25/5-1 FRØY,unknown,1987,Shut down,0.0,0.0,0.0
25/4-1 HEIMDAL,unknown,1972,Producing,0.0,0.0,0.0
25/2-4 LILLE-FRIGG,unknown,1975,Shut down,0.0,0.0,0.0
25/2-18 S (Langfjellet),unknown,2016,Production not evaluated,0.0,0.0,0.0
25/2-1 ØST FRIGG,unknown,1973,Shut down,0.0,0.0,0.0
25/1-4 NORDØST FRIGG,unknown,1974,Shut down,0.0,0.0,0.0
25/1-1 FRIGG,unknown,1971,Shut down,0.0,0.0,0.0
9/2-1 YME,unknown,1987,Shut down,0.0,0.0,0.0
30/8-1 S TUNE,unknown,1995,Producing,-1.3,-6.3,-7.5
Sum resources,resource,All,Any,828.2,646.0,1592.4
Sum reserves,reserve,All,Any,5498.1,8049.3,14445.4
Sum,resource,All,All,6325.0,8689.0,16030.3
