name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
Før 2000,26.6,18.1,47.7,3.0,7.6,11.3
Etter 2000,5.5,6.8,13.7,3.4,4.1,8.4
Sum,32.1,24.9,61.4,6.4,11.7,19.7
