name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
North sea,4415.3,2941.1,7821.8,834.1,1219.5,2186.49
Norwegian sea,695.9,815.8,1715.95,110.4,361.5,543.54
Barents sea,31.0,223.8,295.99,28.0,182.4,240.99
Sum,5142.2,3980.7,9833.74,972.5,1763.4,2971.02
