name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
Før 2000,82.55,72.18,77.29,45.35,65.19,57.17
Etter 2000,17.45,27.82,22.71,54.65,34.81,42.83
Sum,100.00,100.00,100.00,100.00,100.00,100.00
