name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
Barents sea,0.56,5.67,3.01,2.79,10.18,7.97
North sea,85.88,74.01,79.62,85.41,68.86,73.35
Norwegian sea,13.56,20.32,17.37,11.81,20.95,18.68
Sum,100.00,100.00,100.00,100.00,100.00,100.00
