Date,North sea,Norwegian sea,Barents sea,Sum
1977-09,0.0046048,0,0,0.0046048
1977-10,0.0165742,0,0,0.0165742
1977-11,0.0281484,0,0,0.0281484
1977-12,0.0457516,0,0,0.0457516
1978-01,0.0655714,0,0,0.0655714
1978-02,0.0836499,0,0,0.0836499
1978-03,0.101211,0,0,0.101211
1978-04,0.119527,0,0,0.119527
1978-05,0.134128,0,0,0.134128
1978-06,0.148119,0,0,0.148119
1978-07,0.165167,0,0,0.165167
1978-08,0.182124,0,0,0.182124
1978-09,0.201383,0,0,0.201383
1978-10,0.214785,0,0,0.214785
1978-11,0.231863,0,0,0.231863
1978-12,0.24472,0,0,0.24472
1979-01,0.257003,0,0,0.257003
1979-02,0.26694,0,0,0.26694
1979-03,0.279457,0,0,0.279457
1979-04,0.289078,0,0,0.289078
1979-05,0.301587,0,0,0.301587
1979-06,0.306259,0,0,0.306259
1979-07,0.315419,0,0,0.315419
1979-08,0.328139,0,0,0.328139
1979-09,0.334641,0,0,0.334641
1979-10,0.338303,0,0,0.338303
1979-11,0.346826,0,0,0.346826
1979-12,0.3562,0,0,0.3562
1980-01,0.365094,0,0,0.365094
1980-02,0.378022,0,0,0.378022
1980-03,0.388896,0,0,0.388896
1980-04,0.39726,0,0,0.39726
1980-05,0.405789,0,0,0.405789
1980-06,0.420969,0,0,0.420969
1980-07,0.4186,0,0,0.4186
1980-08,0.421388,0,0,0.421388
1980-09,0.424434,0,0,0.424434
1980-10,0.430867,0,0,0.430867
1980-11,0.431525,0,0,0.431525
1980-12,0.431164,0,0,0.431164
1981-01,0.431958,0,0,0.431958
1981-02,0.428927,0,0,0.428927
1981-03,0.430484,0,0,0.430484
1981-04,0.434065,0,0,0.434065
1981-05,0.43212,0,0,0.43212
1981-06,0.43025,0,0,0.43025
1981-07,0.438316,0,0,0.438316
1981-08,0.424455,0,0,0.424455
1981-09,0.425379,0,0,0.425379
1981-10,0.42697,0,0,0.42697
1981-11,0.427558,0,0,0.427558
1981-12,0.42998,0,0,0.42998
1982-01,0.432817,0,0,0.432817
1982-02,0.434677,0,0,0.434677
1982-03,0.436306,0,0,0.436306
1982-04,0.437335,0,0,0.437335
1982-05,0.43621,0,0,0.43621
1982-06,0.431065,0,0,0.431065
1982-07,0.424611,0,0,0.424611
1982-08,0.429202,0,0,0.429202
1982-09,0.419781,0,0,0.419781
1982-10,0.415235,0,0,0.415235
1982-11,0.414933,0,0,0.414933
1982-12,0.412901,0,0,0.412901
1983-01,0.408444,0,0,0.408444
1983-02,0.404851,0,0,0.404851
1983-03,0.399867,0,0,0.399867
1983-04,0.394244,0,0,0.394244
1983-05,0.392803,0,0,0.392803
1983-06,0.392691,0,0,0.392691
1983-07,0.3938,0,0,0.3938
1983-08,0.397093,0,0,0.397093
1983-09,0.399639,0,0,0.399639
1983-10,0.403542,0,0,0.403542
1983-11,0.404162,0,0,0.404162
1983-12,0.406913,0,0,0.406913
1984-01,0.408656,0,0,0.408656
1984-02,0.414477,0,0,0.414477
1984-03,0.421128,0,0,0.421128
1984-04,0.425851,0,0,0.425851
1984-05,0.432656,0,0,0.432656
1984-06,0.438726,0,0,0.438726
1984-07,0.439018,0,0,0.439018
1984-08,0.435448,0,0,0.435448
1984-09,0.437831,0,0,0.437831
1984-10,0.440548,0,0,0.440548
1984-11,0.444094,0,0,0.444094
1984-12,0.44619,0,0,0.44619
1985-01,0.453015,0,0,0.453015
1985-02,0.453766,0,0,0.453766
1985-03,0.454476,0,0,0.454476
