Date,Før 2000,Etter 2000,Sum
1972,0.0331175,0,0.0331175
1973,0.0322174,0,0.0322174
1974,0.0347099,0,0.0347099
1975,0.189482,0,0.189482
1976,0.27887,0,0.27887
1977,0.286799,0,0.286799
1978,0.355764,0,0.355764
1979,0.387359,0,0.387359
1980,0.485006,0,0.485006
1981,0.473638,0,0.473638
1982,0.491626,0,0.491626
1983,0.614276,0,0.614276
1984,0.706218,0,0.706218
1985,0.771307,0,0.771307
1986,0.840468,0,0.840468
1987,0.981571,0,0.981571
1988,1.11232,0,1.11232
1989,1.48174,0,1.48174
1990,1.62924,0,1.62924
1991,1.86994,0,1.86994
1992,2.13102,0,2.13102
1993,2.27205,0,2.27205
1994,2.52087,0,2.52087
1995,2.7017,0,2.7017
1996,3.01613,0,3.01613
1997,3.0315,0,3.0315
1998,2.90794,0,2.90794
1999,2.90701,0,2.90701
2000,3.07809,0.0356518,3.11374
2001,2.97371,0.143457,3.11716
2002,2.7964,0.196079,2.99248
2003,2.62731,0.224307,2.85162
2004,2.57286,0.22461,2.79747
2005,2.33149,0.22134,2.55283
2006,2.07767,0.275955,2.35363
2007,1.92248,0.288085,2.21057
2008,1.7123,0.395736,2.10804
2009,1.51155,0.468979,1.98053
2010,1.32645,0.472089,1.79854
2011,1.157,0.523108,1.68011
2012,1.0068,0.525905,1.5327
2013,0.957305,0.506366,1.46367
2014,0.979307,0.53271,1.51202
2015,0.99886,0.568736,1.5676
2016,0.985835,0.629785,1.61562
2017,0.98001,0.64775,1.62776
