date,mboed,mma
1989-04,0.53,0.49
1989-05,0.45,0.49
1989-06,0.44,0.48
1989-07,0.40,0.48
1989-08,0.43,0.49
1989-09,0.45,0.49
1989-10,0.51,0.50
1989-11,0.54,0.50
1989-12,0.54,0.50
1990-01,0.54,0.49
1990-02,0.53,0.49
1990-03,0.51,0.49
1990-04,0.39,0.48
1990-05,0.37,0.47
1990-06,0.36,0.46
1990-07,0.33,0.46
1990-08,0.40,0.45
1990-09,0.43,0.45
1990-10,0.44,0.45
1990-11,0.49,0.44
1990-12,0.50,0.44
1991-01,0.49,0.43
1991-02,0.50,0.43
1991-03,0.48,0.43
1991-04,0.47,0.44
1991-05,0.47,0.45
1991-06,0.41,0.45
1991-07,0.38,0.45
1991-08,0.18,0.44
1991-09,0.37,0.43
1991-10,0.45,0.43
1991-11,0.49,0.43
1991-12,0.49,0.43
1992-01,0.49,0.43
1992-02,0.49,0.43
1992-03,0.47,0.43
1992-04,0.47,0.43
1992-05,0.39,0.42
1992-06,0.44,0.43
1992-07,0.41,0.43
1992-08,0.43,0.45
1992-09,0.42,0.45
1992-10,0.43,0.45
1992-11,0.43,0.45
1992-12,0.46,0.44
1993-01,0.47,0.44
1993-02,0.46,0.44
1993-03,0.44,0.44
1993-04,0.41,0.43
1993-05,0.42,0.44
1993-06,0.31,0.42
1993-07,0.34,0.42
1993-08,0.33,0.41
1993-09,0.41,0.41
1993-10,0.49,0.42
1993-11,0.52,0.42
1993-12,0.52,0.43
1994-01,0.51,0.43
1994-02,0.51,0.44
1994-03,0.48,0.44
1994-04,0.48,0.44
1994-05,0.44,0.44
1994-06,0.44,0.46
1994-07,0.41,0.46
1994-08,0.25,0.46
1994-09,0.45,0.46
1994-10,0.50,0.46
1994-11,0.54,0.46
1994-12,0.55,0.46
1995-01,0.56,0.47
1995-02,0.49,0.46
1995-03,0.52,0.47
1995-04,0.46,0.47
1995-05,0.46,0.47
1995-06,0.47,0.47
1995-07,0.43,0.47
1995-08,0.39,0.48
1995-09,0.45,0.48
1995-10,0.42,0.48
1995-11,0.51,0.48
1995-12,0.58,0.48
1996-01,0.59,0.48
1996-02,0.60,0.49
1996-03,0.61,0.50
1996-04,0.57,0.51
1996-05,0.57,0.52
1996-06,0.52,0.52
1996-07,0.59,0.53
1996-08,0.60,0.55
1996-09,0.72,0.57
1996-10,0.76,0.60
1996-11,0.78,0.62
1996-12,0.81,0.64
1997-01,0.82,0.66
1997-02,0.81,0.68
1997-03,0.77,0.69
1997-04,0.65,0.70
1997-05,0.62,0.70
1997-06,0.64,0.71
