name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
Gigant,18.4,11.8,31.3,3.4,6.3,10.0
Ikkje gigant,14.0,13.3,30.7,2.8,4.9,8.9
