Date,Gigant,Ikkje gigant,Sum
1972,0.0331175,0,0.0331175
1973,0.0322174,0,0.0322174
1974,0.0347099,0,0.0347099
1975,0.189482,0,0.189482
1976,0.27887,0,0.27887
1977,0.273801,0.0129979,0.286799
1978,0.267492,0.0882714,0.355764
1979,0.228125,0.159234,0.387359
1980,0.247955,0.237051,0.485006
1981,0.291485,0.182153,0.473638
1982,0.336455,0.155172,0.491626
1983,0.467933,0.146343,0.614276
1984,0.513094,0.193124,0.706218
1985,0.603072,0.168235,0.771307
1986,0.677475,0.162994,0.840468
1987,0.754519,0.227052,0.981571
1988,0.854373,0.257944,1.11232
1989,1.20001,0.281733,1.48174
1990,1.27521,0.354027,1.62924
1991,1.45544,0.4145,1.86994
1992,1.69689,0.434136,2.13102
1993,1.82978,0.44227,2.27205
1994,1.92525,0.59562,2.52087
1995,1.91407,0.787634,2.7017
1996,2.17609,0.840045,3.01613
1997,2.13359,0.89791,3.0315
1998,1.89772,1.01023,2.90794
1999,1.6949,1.21211,2.90701
2000,1.61163,1.50211,3.11374
2001,1.54177,1.57539,3.11716
2002,1.54052,1.45196,2.99248
2003,1.50094,1.35068,2.85162
2004,1.37148,1.42599,2.79747
2005,1.17842,1.37441,2.55283
2006,1.03184,1.32179,2.35363
2007,0.894339,1.31623,2.21057
2008,0.826029,1.28201,2.10804
2009,0.716718,1.26382,1.98053
2010,0.61289,1.18565,1.79854
2011,0.574813,1.1053,1.68011
2012,0.510336,1.02237,1.5327
2013,0.50322,0.96045,1.46367
2014,0.498541,1.01348,1.51202
2015,0.507319,1.06028,1.5676
2016,0.511619,1.09998,1.6116
