name,origRecoverableOil,origRecoverableGas,origRecoverableOE,remainingOil,remainingGas,remainingOE
1960,3.9,1.1,5.2,0.6,0.1,0.7
1970,15.9,14.4,31.9,1.7,6.8,8.9
1980,6.4,5.5,13.9,0.9,2.9,4.5
1990,3.0,3.7,7.2,0.6,1.8,2.6
2000,1.0,0.2,1.2,0.7,0.1,0.8
2010,1.9,0.1,2.1,1.9,0.1,2.1
Sum,32.1,24.9,61.4,6.4,11.7,19.7
