year,reserveOil,reserveGas,reserveOE,producedOil,producedGas,producedOE
2000,0.25,0.00,0.25,1.14,0.31,1.53
2001,0.31,0.05,0.37,2.28,0.65,3.11
2002,0.31,0.05,0.37,3.37,1.07,4.74
2003,0.49,0.05,0.55,4.41,1.52,6.39
2004,0.51,0.05,0.58,5.43,2.02,8.05
2005,0.52,0.05,0.59,6.37,2.56,9.67
2006,0.52,0.05,0.59,7.23,3.12,11.24
2007,0.70,0.08,0.82,8.03,3.69,12.74
2008,0.97,0.15,1.18,8.80,4.32,14.27
2009,1.01,0.16,1.23,9.53,4.97,15.78
2010,2.95,0.35,3.43,10.18,5.65,17.24
2011,2.99,0.35,3.48,10.80,6.29,18.62
2012,2.99,0.35,3.48,11.36,7.01,20.04
2013,2.99,0.35,3.48,11.89,7.69,21.40
2014,2.99,0.35,3.48,12.44,8.38,22.77
2015,2.99,0.35,3.48,13.02,9.11,24.22
2016,2.99,0.35,3.48,13.61,9.85,25.69
2017,2.99,0.35,3.48,13.76,10.05,26.08
